"dataset"	"algorithm"	"homogeneity_mean"	"homogeneity_low_CI"	"homogeneity_high_CI"	"score"	"rank"
"cb"	"cibersort"	"0.28"	"0.24"	"0.33"	22	22
"cb"	"gsea"	"0.25"	"0.2"	"0.3"	23.5	19.75
"cb"	"gsva"	"0.36"	"0.33"	"0.4"	20	16.75
"cb"	"metaneighbor"	"0.17"	"0.14"	"0.2"	26	19.25
"cb"	"ora"	"0.25"	"0.2"	"0.3"	23.5	18
"cb"	"adobo"	"0.6"	"0.54"	"0.66"	18.5	22
"cb"	"sccatch"	"0.35"	"0.31"	"0.4"	21	24.5
"cb"	"SVM"	"0.79"	"0.73"	"0.85"	1	3.5
"cb"	"SVMrej"	"0.78"	"0.73"	"0.84"	2	4.5
"cb"	"RF"	"0.67"	"0.6"	"0.74"	15	10.5
"cb"	"LDA"	"0.74"	"0.68"	"0.81"	7	13.25
"cb"	"LDArej"	"0.76"	"0.7"	"0.82"	4	13.25
"cb"	"NMC"	"0.7"	"0.64"	"0.76"	12	16.75
"cb"	"kNN9"	"0.62"	"0.56"	"0.69"	16	17.5
"cb"	"ACTINN"	"0.77"	"0.71"	"0.84"	3	4.75
"cb"	"scVI"	"0.73"	"0.67"	"0.8"	9.5	4
"cb"	"Cell_BLAST"	"0.2"	"0.15"	"0.25"	25	22.5
"cb"	"SingleCellNet"	"0.73"	"0.66"	"0.8"	9.5	6.75
"cb"	"LAmbDA"	"0.74"	"0.67"	"0.8"	7	14
"cb"	"scPred"	"0.75"	"0.68"	"0.82"	5	2.75
"cb"	"CaSTLe"	"0.71"	"0.65"	"0.78"	11	8.5
"cb"	"CHETAH"	"0.68"	"0.61"	"0.74"	13.5	12.75
"cb"	"scID"	"0.61"	"0.55"	"0.67"	17	17.5
"cb"	"scmapcell"	"0.6"	"0.54"	"0.66"	18.5	17.25
"cb"	"scmapcluster"	"0.68"	"0.63"	"0.74"	13.5	19.5
"cb"	"singleR"	"0.74"	"0.67"	"0.8"	7	8.25
"dg"	"cibersort"	"0.43"	"0.41"	"0.45"	25.5	22
"dg"	"gsea"	"0.95"	"0.94"	"0.96"	4.5	19.75
"dg"	"gsva"	"0.62"	"0.61"	"0.64"	21	16.75
"dg"	"metaneighbor"	"0.62"	"0.61"	"0.63"	21	19.25
"dg"	"ora"	"0.95"	"0.94"	"0.96"	4.5	18
"dg"	"adobo"	"0.49"	"0.47"	"0.51"	24	22
"dg"	"sccatch"	"0.43"	"0.41"	"0.45"	25.5	24.5
"dg"	"SVM"	"0.92"	"0.91"	"0.94"	10	3.5
"dg"	"SVMrej"	"0.93"	"0.92"	"0.95"	8	4.5
"dg"	"RF"	"0.91"	"0.89"	"0.92"	12.5	10.5
"dg"	"LDA"	"0.88"	"0.86"	"0.9"	14.5	13.25
"dg"	"LDArej"	"0.88"	"0.86"	"0.9"	14.5	13.25
"dg"	"NMC"	"0.82"	"0.8"	"0.85"	17	16.75
"dg"	"kNN9"	"0.56"	"0.54"	"0.58"	23	17.5
"dg"	"ACTINN"	"0.95"	"0.93"	"0.96"	4.5	4.75
"dg"	"scVI"	"0.96"	"0.95"	"0.97"	1.5	4
"dg"	"Cell_BLAST"	"0.62"	"0.6"	"0.63"	21	22.5
"dg"	"SingleCellNet"	"0.94"	"0.93"	"0.96"	7	6.75
"dg"	"LAmbDA"	"0.86"	"0.85"	"0.88"	16	14
"dg"	"scPred"	"0.96"	"0.95"	"0.97"	1.5	2.75
"dg"	"CaSTLe"	"0.92"	"0.9"	"0.94"	10	8.5
"dg"	"CHETAH"	"0.92"	"0.91"	"0.93"	10	12.75
"dg"	"scID"	"0.69"	"0.67"	"0.71"	18	17.5
"dg"	"scmapcell"	"0.91"	"0.89"	"0.92"	12.5	17.25
"dg"	"scmapcluster"	"0.65"	"0.63"	"0.67"	19	19.5
"dg"	"singleR"	"0.95"	"0.94"	"0.96"	4.5	8.25
"jam"	"cibersort"	"0.45"	"0.44"	"0.46"	22	22
"jam"	"gsea"	"0.54"	"0.53"	"0.55"	18.5	19.75
"jam"	"gsva"	"0.58"	"0.56"	"0.59"	16	16.75
"jam"	"metaneighbor"	"0.54"	"0.53"	"0.55"	18.5	19.25
"jam"	"ora"	"0.56"	"0.55"	"0.57"	17	18
"jam"	"adobo"	"0.16"	"0.16"	"0.17"	26	22
"jam"	"sccatch"	"0.48"	"0.47"	"0.49"	21	24.5
"jam"	"SVM"	"0.79"	"0.77"	"0.8"	3	3.5
"jam"	"SVMrej"	"0.77"	"0.76"	"0.78"	6	4.5
"jam"	"RF"	"0.74"	"0.73"	"0.75"	8	10.5
"jam"	"LDA"	"0.78"	"0.77"	"0.79"	4.5	13.25
"jam"	"LDArej"	"0.78"	"0.77"	"0.79"	4.5	13.25
"jam"	"NMC"	"0.63"	"0.62"	"0.64"	15	16.75
"jam"	"kNN9"	"0.51"	"0.49"	"0.52"	20	17.5
"jam"	"ACTINN"	"0.76"	"0.75"	"0.77"	7	4.75
"jam"	"scVI"	"0.73"	"0.71"	"0.74"	9	4
"jam"	"Cell_BLAST"	"0.35"	"0.34"	"0.36"	24	22.5
"jam"	"SingleCellNet"	"0.88"	"0.87"	"0.89"	2	6.75
"jam"	"LAmbDA"	"0.64"	"0.62"	"0.65"	14	14
"jam"	"scPred"	"0.71"	"0.69"	"0.72"	11	2.75
"jam"	"CaSTLe"	"0.89"	"0.87"	"0.9"	1	8.5
"jam"	"CHETAH"	"0.69"	"0.67"	"0.7"	12	12.75
"jam"	"scID"	"0.67"	"0.66"	"0.68"	13	17.5
"jam"	"scmapcell"	"0.34"	"0.33"	"0.36"	25	17.25
"jam"	"scmapcluster"	"0.37"	"0.36"	"0.39"	23	19.5
"jam"	"singleR"	"0.72"	"0.71"	"0.74"	10	8.25
"li_crc"	"cibersort"	"0.24"	"0.17"	"0.31"	21.5	22
"li_crc"	"gsea"	"0.24"	"0.17"	"0.31"	21.5	19.75
"li_crc"	"gsva"	"0.28"	"0.23"	"0.33"	17.5	16.75
"li_crc"	"metaneighbor"	"0.25"	"0.2"	"0.3"	20	19.25
"li_crc"	"ora"	"0.43"	"0.34"	"0.52"	11.5	18
"li_crc"	"adobo"	"0.3"	"0.24"	"0.37"	16	22
"li_crc"	"sccatch"	"0.43"	"0.34"	"0.52"	11.5	24.5
"li_crc"	"SVM"	"0.65"	"0.55"	"0.76"	6	3.5
"li_crc"	"SVMrej"	"0.68"	"0.61"	"0.75"	5	4.5
"li_crc"	"RF"	"0.38"	"0.3"	"0.48"	13	10.5
"li_crc"	"LDA"	"0.26"	"0.19"	"0.35"	19	13.25
"li_crc"	"LDArej"	"0.28"	"0.21"	"0.36"	17.5	13.25
"li_crc"	"NMC"	"0.45"	"0.36"	"0.53"	9	16.75
"li_crc"	"kNN9"	"0.01"	"0"	"0.03"	26	17.5
"li_crc"	"ACTINN"	"0.49"	"0.4"	"0.6"	8	4.75
"li_crc"	"scVI"	"0.86"	"0.78"	"0.93"	1	4
"li_crc"	"Cell_BLAST"	"0.03"	"0.01"	"0.06"	25	22.5
"li_crc"	"SingleCellNet"	"0.64"	"0.54"	"0.74"	7	6.75
"li_crc"	"LAmbDA"	"0.35"	"0.27"	"0.44"	14	14
"li_crc"	"scPred"	"0.8"	"0.71"	"0.88"	3.5	2.75
"li_crc"	"CaSTLe"	"0.44"	"0.35"	"0.54"	10	8.5
"li_crc"	"CHETAH"	"0.8"	"0.72"	"0.87"	3.5	12.75
"li_crc"	"scID"	"0.31"	"0.23"	"0.39"	15	17.5
"li_crc"	"scmapcell"	"0.09"	"0.05"	"0.14"	24	17.25
"li_crc"	"scmapcluster"	"0.11"	"0.08"	"0.14"	23	19.5
"li_crc"	"singleR"	"0.84"	"0.76"	"0.92"	2	8.25
"tm"	"cibersort"	"0.69"	"0.68"	"0.71"	22	22
"tm"	"gsea"	"0.87"	"0.85"	"0.89"	14.5	19.75
"tm"	"gsva"	"0.87"	"0.85"	"0.89"	14.5	16.75
"tm"	"metaneighbor"	"0.84"	"0.82"	"0.85"	18	19.25
"tm"	"ora"	"0.7"	"0.69"	"0.72"	21	18
"tm"	"adobo"	"0.71"	"0.69"	"0.72"	20	22
"tm"	"sccatch"	"0.61"	"0.6"	"0.63"	24	24.5
"tm"	"SVM"	"0.97"	"0.96"	"0.98"	3	3.5
"tm"	"SVMrej"	"0.98"	"0.98"	"0.99"	1	4.5
"tm"	"RF"	"0.93"	"0.92"	"0.95"	11.5	10.5
"tm"	"LDA"	"0.96"	"0.95"	"0.97"	6	13.25
"tm"	"LDArej"	"0.96"	"0.95"	"0.97"	6	13.25
"tm"	"NMC"	"0.86"	"0.84"	"0.88"	16.5	16.75
"tm"	"kNN9"	"0.79"	"0.77"	"0.81"	19	17.5
"tm"	"ACTINN"	"0.95"	"0.94"	"0.96"	9	4.75
"tm"	"scVI"	"0.95"	"0.94"	"0.96"	9	4
"tm"	"Cell_BLAST"	"0.55"	"0.53"	"0.56"	26	22.5
"tm"	"SingleCellNet"	"0.97"	"0.96"	"0.98"	3	6.75
"tm"	"LAmbDA"	"0.89"	"0.88"	"0.91"	13	14
"tm"	"scPred"	"0.97"	"0.96"	"0.98"	3	2.75
"tm"	"CaSTLe"	"0.95"	"0.94"	"0.96"	9	8.5
"tm"	"CHETAH"	"0.93"	"0.92"	"0.94"	11.5	12.75
"tm"	"scID"	"0.86"	"0.84"	"0.87"	16.5	17.5
"tm"	"scmapcell"	"0.68"	"0.66"	"0.7"	23	17.25
"tm"	"scmapcluster"	"0.6"	"0.58"	"0.62"	25	19.5
"tm"	"singleR"	"0.96"	"0.95"	"0.97"	6	8.25
"llc"	"cibersort"	"0.43"	"0.43"	"0.44"	23	22
"llc"	"gsea"	"0.49"	"0.48"	"0.49"	21	19.75
"llc"	"gsva"	"0.58"	"0.58"	"0.58"	19.5	16.75
"llc"	"metaneighbor"	"0.28"	"0.28"	"0.29"	24	19.25
"llc"	"ora"	"0.45"	"0.45"	"0.46"	22	18
"llc"	"adobo"				25.5	22
"llc"	"sccatch"				25.5	24.5
"llc"	"SVM"	"0.93"	"0.93"	"0.94"	2.5	3.5
"llc"	"SVMrej"	"0.93"	"0.92"	"0.93"	2.5	4.5
"llc"	"RF"	"0.84"	"0.83"	"0.84"	9.5	10.5
"llc"	"LDA"	"0.82"	"0.82"	"0.83"	12	13.25
"llc"	"LDArej"	"0.82"	"0.82"	"0.83"	12	13.25
"llc"	"NMC"	"0.59"	"0.59"	"0.6"	18	16.75
"llc"	"kNN9"	"0.82"	"0.82"	"0.82"	12	17.5
