Unnamed: 0,cell,seurat,ascend,cellRanger,cidr,clue,countClust,RaceID,rca,SAFE,SAME_AIC,SAME_BIC,sc3,scran,seurat_y,simlr,truth,tscan,paper
0,Cy72_CD45_H02_S758_comb,3,1,4,1,11,1,1618,4,3,10,14,1,4,3,7,B Cell,1,3
1,CY58_1_CD45_B02_S974_comb,2,1,2,2,1,4,2017,3,1,1,2,11,1,1,14,T Cell,4,2
2,Cy71_CD45_D08_S524_comb,6,2,2,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
3,Cy81_FNA_CD45_B01_S301_comb,7,2,9,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
4,Cy80_II_CD45_B07_S883_comb,12,2,1,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
5,Cy81_Bulk_CD45_B10_S118_comb,7,2,1,3,6,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
6,Cy72_CD45_D09_S717_comb,1,1,6,4,10,1,1855,2,2,18,10,5,3,1,14,T Cell,1,2
7,Cy74_CD45_A03_S387_comb,2,1,6,2,1,4,1551,3,1,1,2,11,1,1,14,T Cell,4,2
8,Cy71_CD45_B05_S497_comb,12,2,3,3,5,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
9,Cy80_II_CD45_C09_S897_comb,12,2,1,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
10,Cy74_CD45_F09_S453_comb,5,1,6,5,10,1,2608,3,1,18,5,17,3,1,14,T Cell,1,2
11,CY58_1_CD45_D03_S999_comb,1,1,2,4,10,1,2146,2,2,18,10,5,3,1,14,T Cell,1,2
12,Cy72_CD45_C01_S697_comb,1,1,6,5,10,1,2619,10,1,18,10,18,3,1,14,T Cell,1,2
13,Cy71_CD45_D07_S523_comb,13,1,1,2,1,4,335,3,1,16,2,23,7,9,14,T Cell,4,2
14,Cy81_FNA_CD45_E05_S341_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
15,Cy74_CD45_D04_S424_comb,5,1,2,5,10,1,2258,3,1,14,5,17,1,1,14,T Cell,1,2
16,Cy74_CD45_C11_S419_comb,5,1,2,5,10,1,2033,3,1,18,5,11,3,1,14,T Cell,1,2
17,Cy81_Bulk_CD45_E10_S154_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,8,Melanoma,2,1
18,Cy80_II_CD45_H07_S955_comb,12,2,3,6,6,2,4,1,8,13,13,28,2,10,4,Melanoma,2,1
19,Cy81_FNA_CD45_D09_S333_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
20,Cy71_CD45_E12_S540_comb,6,2,3,3,6,2,15,9,8,12,3,29,2,5,3,Melanoma,2,1
21,Cy81_FNA_CD45_D07_S235_comb,1,1,2,4,10,1,2287,2,2,18,10,5,3,1,14,T Cell,1,2
22,Cy72_CD45_D07_S715_comb,1,1,2,7,10,1,2270,2,1,4,5,20,1,1,14,T Cell,1,2
23,Cy72_CD45_E08_S728_comb,1,1,6,4,10,1,1877,2,2,18,10,5,3,1,14,T Cell,1,2
24,Cy71_CD45_B07_S499_comb,5,1,2,2,10,1,2175,3,1,14,16,11,1,1,14,T Cell,1,2
25,Cy71_CD45_G02_S554_comb,6,2,3,6,5,2,15,9,8,17,3,29,2,5,15,Melanoma,2,1
26,Cy71_CD45_E03_S531_comb,5,1,2,2,10,3,2481,2,1,20,15,13,1,1,14,T Cell,3,2
27,Cy74_CD45_H03_S471_comb,5,1,1,2,1,4,1502,3,1,1,2,8,1,1,14,T Cell,4,2
28,Cy80_II_CD45_H09_S957_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
29,Cy72_CD45_D03_S711_comb,13,1,4,1,11,3,777,4,3,7,12,3,4,9,7,B Cell,3,3
