	AML921A.D0	AML420B.D35	AML314.D31	AML475.D0	AML329.D0	AML371.D0	AML420B.D14	BM2	BM1	AML1012.D0	AML556.D15	AML556.D31	BM3	AML328.D171	AML329.D20	AML997.D35	AML707B.D41	AML722B.D49	AML870.D14	AML419A.D0	AML916.D0	AML420B.D0	AML722B.D0	BM5.34p	AML870.D0	AML707B.D97	AML314.D0	AML210A.D0	AML371.D34	AML707B.D0	AML475.D29	AML707B.D113	AML328.D113	AML329.D37	BM4	AML328.D29	BM5.34p38n	AML997.D0	OCI.AML3	MUTZ3	AML328.D0	AML556.D0	AML707B.D18
cDC-like	1346	3	0	198	25	0	0	0	0	122	0	1	0	2	74	0	4	0	0	59	36	1	0	0	2	0	0	94	0	2	1	1	15	4	0	13	0	0	39	18	52	8	5
Prog-like	817	0	0	26	67	0	0	0	0	183	0	0	0	79	108	0	2	0	4	360	384	34	0	0	144	0	0	79	0	347	0	1	26	4	0	721	0	0	94	648	281	1	28
HSC-like	507	0	0	18	9	0	1	0	0	51	0	1	0	63	10	0	2	0	3	52	343	33	0	0	96	0	0	35	0	152	0	0	29	0	0	365	0	0	4	39	143	1	22
GMP-like	392	0	0	15	134	0	0	0	0	190	0	0	0	1	39	0	4	0	0	16	11	30	0	0	56	0	0	23	0	857	0	0	3	4	0	25	0	0	843	389	2	15	6
Mono-like	241	7	0	51	11	0	0	0	0	152	0	3	0	15	17	0	1	0	0	572	0	2	0	0	5	1	0	182	0	0	0	2	78	4	0	19	0	0	1	104	214	973	0
B	134	1	0	17	16	3	0	2	0	0	3	15	16	5	25	0	2	0	0	23	11	12	0	0	3	0	21	25	2	9	1	30	9	1	95	15	0	0	0	0	12	5	7
NK	97	9	5	9	29	2	77	1	0	3	535	32	13	137	30	6	24	4	2	2	0	16	2	0	5	12	6	56	3	3	9	56	280	13	143	134	0	0	0	0	75	17	122
T	83	172	18	15	80	7	716	17	10	14	119	12	88	984	86	10	102	39	71	4	20	174	3	0	10	16	38	111	17	17	6	286	1408	26	605	282	0	1	0	0	108	2	1328
ProMono-like	75	0	0	0	7	0	0	0	0	158	0	10	0	1	11	0	0	0	0	9	1	0	0	0	11	0	0	51	0	12	0	1	2	0	0	2	0	0	197	304	1	1064	0
CTL	38	17	17	8	8	5	77	3	5	13	356	40	38	49	33	10	4	6	10	3	7	10	4	0	1	1	9	16	7	8	7	45	84	2	215	34	0	1	0	0	22	22	103
Mono	18	408	37	1	33	326	0	59	24	49	0	415	87	0	336	12	146	0	0	56	0	13	0	1	0	19	0	8	48	2	23	53	10	74	395	6	1	1	0	0	79	15	3
cDC	16	12	9	43	12	67	1	13	3	32	0	110	46	0	81	1	29	3	0	7	0	1	0	3	0	6	2	24	15	5	7	48	1	17	216	0	0	1	0	0	12	1	5
pDC	15	4	3	3	2	3	2	5	4	0	0	27	22	0	1	1	7	3	0	1	16	0	0	8	0	2	0	0	8	1	1	6	0	12	52	12	0	0	0	0	2	1	1
HSC	10	1	0	10	2	39	0	5	2	21	13	10	13	22	6	2	13	0	3	2	33	7	30	471	1	0	37	3	7	45	1	1	11	2	15	63	764	10	0	0	19	2	13
ProMono	9	36	17	0	8	115	0	21	13	22	0	155	83	0	51	4	12	1	0	5	0	0	0	2	0	2	0	12	19	4	2	30	0	11	505	0	0	1	0	0	3	3	0
GMP	5	6	13	1	13	110	0	8	7	51	2	42	49	0	12	2	6	0	0	1	1	11	3	116	0	6	1	6	20	34	1	17	0	7	351	3	1	5	0	0	0	5	2
Prog	4	1	18	7	13	54	0	9	2	39	68	42	33	5	19	1	7	1	2	6	24	9	36	648	3	1	34	5	15	39	0	5	4	5	424	16	40	54	0	0	8	3	5
lateEry	2	13	192	0	45	5	0	21	17	0	0	230	63	16	9	134	8	13	0	1	2	70	0	0	6	9	2	0	30	5	34	55	42	30	160	76	1	3	0	0	9	26	0
earlyEry	2	5	11	1	7	17	0	8	3	33	14	63	84	18	4	2	12	3	1	6	7	29	1	113	2	7	12	14	8	29	5	34	7	6	411	82	0	5	0	0	44	8	1
ProB	1	1	1	0	0	1	6	10	14	2	0	3	3	2	0	0	2	0	0	2	37	1	0	69	0	2	0	1	1	7	0	25	0	0	97	7	0	0	0	0	1	2	0
Plasma	1	47	5	0	4	2	402	6	4	1	93	240	5	3	1	2	0	0	0	2	0	32	0	0	0	0	0	3	4	8	4	12	20	2	54	5	0	1	0	0	7	154	22
