cells	samples	cell.types
cy78_CD45_neg_1_B04_S496_comb	Mel78	Mal
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb	Mel79	Mal
CY88_5_B10_S694_comb	Mel88	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb	Mel79	Mal
cy78_CD45_neg_3_H06_S762_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb	Mel79	Mal
CY88_3_D02_S614_comb	Mel88	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb	Mel79	Mal
cy53_1_CD45_neg_C06_S318_comb	Mel53	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb	Mel79	Mal
Cy71_CD45_D08_S524_comb	Mel71	Mal
Cy81_FNA_CD45_B01_S301_comb	Mel81	Mal
CY88_5_B06_S690_comb	Mel88	Mal
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb	Mel79	Mal
Cy80_II_CD45_B07_S883_comb	Mel80	Mal
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb	Mel79	Mal
Cy81_Bulk_CD45_B10_S118_comb	Mel81	Mal
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb	Mel79	Mal
CY88_3_F01_S637_comb	Mel88	Mal
CY88_3_C01_S601_comb	Mel88	Mal
CY89NEG_E07_S55_comb	Mel89	Mal
CY89CORE11_G02_S170_comb	Mel89	Mal
cy78_CD45_neg_1_D07_S523_comb	Mel78	Mal
cy78_CD45_neg_3_D01_S709_comb	Mel78	Mal
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb	Mel79	Mal
Cy71_CD45_B05_S497_comb	Mel71	Mal
Cy80_II_CD45_C09_S897_comb	Mel80	Mal
cy81_FNA_CD45_neg_D04_S1000_comb	Mel81	Mal
cy82_CD45_pos_2_H12_S576_comb	Mel82	Macrophage
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb	Mel79	Mal
cy80_CD45_neg_G01_S937_comb	Mel80	Mal
cy78_CD45_neg_2_B08_S596_comb	Mel78	Mal
cy78_CD45_neg_1_E02_S530_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb	Mel79	Mal
CY89CORE11_A11_S107_comb	Mel89	Mal
cy78_CD45_neg_3_B02_S686_comb	Mel78	Mal
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb	Mel79	Mal
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb	Mel79	Mal
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb	Mel79	Mal
cy81_Bulk_CD45_neg_A10_S106_comb	Mel81	Mal
cy53_1_CD45_neg_E04_S340_comb	Mel53	Mal
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb	Mel79	Mal
cy78_CD45_neg_3_D04_S712_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb	Mel79	Mal
cy81_FNA_CD45_neg_B01_S973_comb	Mel81	Mal
Cy81_FNA_CD45_E05_S341_comb	Mel81	Mal
cy78_CD45_neg_3_E02_S722_comb	Mel78	Mal
cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb	Mel79	Mal
cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb	Mel79	Mal
cy78_CD45_neg_3_D10_S718_comb	Mel78	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb	Mel79	Mal
cy78_CD45_neg_1_G05_S557_comb	Mel78	Mal
CY88_5_C12_S708_comb	Mel88	Mal
cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb	Mel79	Mal
Cy81_Bulk_CD45_E10_S154_comb	Mel81	Mal
CY88CD45_150813_G04_S364_comb	Mel88	Mal
Cy80_II_CD45_H07_S955_comb	Mel80	Mal
cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb	Mel79	Mal
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb	Mel79	Mal
cy82_CD45_pos_3_A03_S3_comb	Mel82	?
cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb	Mel79	Mal
cy78_CD45_neg_3_G11_S755_comb	Mel78	Mal
Cy81_FNA_CD45_D09_S333_comb	Mel81	Mal
cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb	Mel79	Mal
Cy71_CD45_E12_S540_comb	Mel71	Mal
cy94_cd45neg_cd90pos_G07_S367_comb	Mel94	Mal
cy78_CD45_neg_1_H01_S565_comb	Mel78	Mal
CY89CORE11_F05_S161_comb	Mel89	Mal
CY89NEG_C03_S27_comb	Mel89	Mal
cy81_Bulk_CD45_neg_G01_S169_comb	Mel81	Mal
CY89CORE11_B10_S118_comb	Mel89	Mal
cy78_CD45_neg_1_C02_S506_comb	Mel78	Mal
CY88_5_G04_S748_comb	Mel88	Mal
cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb	Mel79	Mal
CY88_3_F05_S641_comb	Mel88	Mal
