method	class	precision	recall	f1_score	support	specificity	Cell Labels	category
cibersort	ACINAR_CELL	0.9911273486430062	0.9813953488372092	0.9862373409504024	1935.0	0.9996942171058548	ACINAR_CELL	Epithelial
cibersort	B_CELL	0.9186401833460656	0.9828361258684104	0.949654491609082	2447.0	0.9961331082185066	B_CELL	Immune
cibersort	DUCTAL_CELL_TYPE_1	0.9399228366709536	0.9917611708830086	0.9651464415412914	10317.0	0.9861478829983268	DUCTAL_CELL_TYPE_1	Epithelial
cibersort	DUCTAL_CELL_TYPE_2	0.9899493017877792	0.9836500220945648	0.9867896090078908	11315.0	0.997554906415666	DUCTAL_CELL_TYPE_2	Tumour
cibersort	ENDOCRINE_CELL	0.979591836734694	0.7242798353909465	0.8328075709779179	729.0	0.9998063414376508	ENDOCRINE_CELL	Secretory
cibersort	ENDOTHELIAL_CELL	0.9910220994475138	0.9443896018427114	0.9671440606571188	9117.0	0.9983888624956108	ENDOTHELIAL_CELL	Endothelial
cibersort	FIBROBLAST	0.9937031484257872	0.9830910708988432	0.98836862511184	6742.0	0.9991730329999212	FIBROBLAST	Fibroblast
cibersort	MACROPHAGE	0.9171555555555556	0.9623204626002612	0.9391953395230292	5361.0	0.9910674921888478	MACROPHAGE	Immune
cibersort	STELLATE_CELL	0.9903111607974658	0.8997799221262909	0.9428774170658152	5907.0	0.9989926970536388	STELLATE_CELL	Fibroblast
cibersort	T_CELL	0.8240321769733534	0.8956284153005465	0.8583398795496203	3660.0	0.987005754594394	T_CELL	Immune
cibersort	macro avg	0.9535455648382176	0.9349131975842792	0.9416560775994008	57530.0	0.0		
cibersort	weighted avg	0.9611614546871311	0.9592212758560752	0.9593149926423162	57530.0	0.0		
gsea	ACINAR_CELL	0.20305537873965626	0.9891472868217054	0.3369421705835754	1935.0	0.8648799352459754	ACINAR_CELL	Epithelial
gsea	B_CELL	0.050868950607018126	1.0	0.09681311942394807	2447.0	0.1711235771472142	B_CELL	Immune
gsea	DUCTAL_CELL_TYPE_1	0.0	0.0	0.0	10317.0	1.0	DUCTAL_CELL_TYPE_1	Epithelial
gsea	DUCTAL_CELL_TYPE_2	0.0	0.0	0.0	11315.0	1.0	DUCTAL_CELL_TYPE_2	Tumour
gsea	ENDOCRINE_CELL	0.0	0.0	0.0	729.0	1.0	ENDOCRINE_CELL	Secretory
gsea	ENDOTHELIAL_CELL	0.0	0.0	0.0	9117.0	1.0	ENDOTHELIAL_CELL	Endothelial
gsea	FIBROBLAST	0.0	0.0	0.0	6742.0	1.0	FIBROBLAST	Fibroblast
