method	class	precision	recall	f1_score	support	specificity
cibersort	ACINAR_CELL	0.9911273486430062	0.9813953488372092	0.9862373409504025	1935	0.9996942171058548
cibersort	B_CELL	0.9186401833460657	0.9828361258684103	0.9496544916090819	2447	0.9961331082185066
cibersort	DUCTAL_CELL_TYPE_1	0.9399228366709536	0.9917611708830086	0.9651464415412914	10317	0.9861478829983268
cibersort	DUCTAL_CELL_TYPE_2	0.9899493017877791	0.9836500220945648	0.9867896090078908	11315	0.9975549064156659
cibersort	ENDOCRINE_CELL	0.9795918367346939	0.7242798353909465	0.832807570977918	729	0.9998063414376508
cibersort	ENDOTHELIAL_CELL	0.9910220994475138	0.9443896018427114	0.9671440606571188	9117	0.9983888624956107
cibersort	FIBROBLAST	0.9937031484257871	0.9830910708988431	0.9883686251118401	6742	0.9991730329999212
cibersort	MACROPHAGE	0.9171555555555555	0.9623204626002612	0.9391953395230291	5361	0.9910674921888478
cibersort	STELLATE_CELL	0.990311160797466	0.8997799221262909	0.9428774170658152	5907	0.9989926970536389
cibersort	T_CELL	0.8240321769733534	0.8956284153005465	0.8583398795496203	3660	0.9870057545943939
cibersort	macro avg	0.9535455648382175	0.9349131975842792	0.9416560775994007	57530	0.0
cibersort	weighted avg	0.961161454687131	0.9592212758560751	0.9593149926423162	57530	0.0
gsea	ACINAR_CELL	0.20305537873965626	0.9891472868217054	0.3369421705835754	1935	0.8648799352459754
gsea	B_CELL	0.050868950607018126	1.0	0.09681311942394809	2447	0.1711235771472142
gsea	DUCTAL_CELL_TYPE_1	0.0	0.0	0.0	10317	1.0
gsea	DUCTAL_CELL_TYPE_2	0.0	0.0	0.0	11315	1.0
gsea	ENDOCRINE_CELL	0.0	0.0	0.0	729	1.0
gsea	ENDOTHELIAL_CELL	0.0	0.0	0.0	9117	1.0
gsea	FIBROBLAST	0.0	0.0	0.0	6742	1.0
gsea	MACROPHAGE	0.0	0.0	0.0	5361	1.0
gsea	STELLATE_CELL	0.0	0.0	0.0	5907	1.0
gsea	T_CELL	0.0	0.0	0.0	3660	1.0
gsea	macro avg	0.02539243293466744	0.19891472868217056	0.04337552900075235	57530	0.0
gsea	weighted avg	0.008993368329508226	0.07580392838519033	0.015450804855025542	57530	0.0
gsva	ACINAR_CELL	0.9911273486430062	0.9813953488372092	0.9862373409504025	1935	0.9996942171058548
gsva	B_CELL	0.9186401833460657	0.9828361258684103	0.9496544916090819	2447	0.9961331082185066
gsva	DUCTAL_CELL_TYPE_1	0.9399228366709536	0.9917611708830086	0.9651464415412914	10317	0.9861478829983268
gsva	DUCTAL_CELL_TYPE_2	0.9899493017877791	0.9836500220945648	0.9867896090078908	11315	0.9975549064156659
gsva	ENDOCRINE_CELL	0.9795918367346939	0.7242798353909465	0.832807570977918	729	0.9998063414376508
gsva	ENDOTHELIAL_CELL	0.9910220994475138	0.9443896018427114	0.9671440606571188	9117	0.9983888624956107
gsva	FIBROBLAST	0.9606468231253578	0.9956986057549688	0.9778587035688273	6742	0.994585335118532
gsva	MACROPHAGE	0.9199175115999313	0.9985077410930796	0.9576028622540249	5361	0.9910674921888478
gsva	STELLATE_CELL	0.990311160797466	0.8997799221262909	0.9428774170658152	5907	0.9989926970536389
gsva	T_CELL	0.9440276976341604	0.8939890710382513	0.9183272523154645	3660	0.9963987377018749
gsva	macro avg	0.9625156799786927	0.9396287444929442	0.9484445749947834	57530	0.0
gsva	weighted avg	0.9651789187371391	0.9639666261081175	0.9636149860829709	57530	0.0
metaneighbor	ACINAR_CELL	0.9911273486430062	0.9813953488372092	0.9862373409504025	1935	0.9996942171058548
metaneighbor	B_CELL	0.990990990990991	0.2697180220678382	0.4240282685512367	2447	0.9998910734709439
metaneighbor	DUCTAL_CELL_TYPE_1	0.9989541116485815	0.7406222739168363	0.8506067015473673	10317	0.9998305551437104
metaneighbor	DUCTAL_CELL_TYPE_2	0.776103932001935	0.9925762262483429	0.8710928410765532	11315	0.9298928919182083
metaneighbor	ENDOCRINE_CELL	0.9795918367346939	0.7242798353909465	0.832807570977918	729	0.9998063414376508
metaneighbor	ENDOTHELIAL_CELL	0.990108695652174	0.9991225183722716	0.9945951848010046	9117	0.9981203395782124
metaneighbor	FIBROBLAST	0.9203564084989719	0.9958469296944527	0.9566146612524044	6742	0.9885602898322439
metaneighbor	MACROPHAGE	0.7111317994414151	0.9973885469128894	0.8302795031055902	5361	0.9583660794724836
metaneighbor	STELLATE_CELL	0.9903039343650941	0.8991027594379549	0.9425022182786158	5907	0.9989926970536389
metaneighbor	T_CELL	0.9965659340659341	0.7928961748633879	0.8831405964698722	3660	0.999814367922777
metaneighbor	macro avg	0.9345234992042798	0.839294863574213	0.8571904887010964	57530	0.0
metaneighbor	weighted avg	0.9158027551569853	0.892438727620372	0.8856807219253823	57530	0.0
ora	ACINAR_CELL	0.9911273486430062	0.9813953488372092	0.9862373409504025	1935	0.9996942171058548
ora	B_CELL	0.769546027742749	0.9975480179812015	0.8688378715073857	2447	0.9867291178766588
ora	DUCTAL_CELL_TYPE_1	0.9399228366709536	0.9917611708830086	0.9651464415412914	10317	0.9861478829983268
ora	DUCTAL_CELL_TYPE_2	0.9899493017877791	0.9836500220945648	0.9867896090078908	11315	0.9975549064156659
ora	ENDOCRINE_CELL	0.9795918367346939	0.7242798353909465	0.832807570977918	729	0.9998063414376508
ora	ENDOTHELIAL_CELL	0.9910220994475138	0.9443896018427114	0.9671440606571188	9117	0.9983888624956107
ora	FIBROBLAST	0.9937031484257871	0.9830910708988431	0.9883686251118401	6742	0.9991730329999212
ora	MACROPHAGE	0.9199175115999313	0.9985077410930796	0.9576028622540249	5361	0.9910674921888478
ora	STELLATE_CELL	0.990311160797466	0.8997799221262909	0.9428774170658152	5907	0.9989926970536389
ora	T_CELL	0.9003095975232198	0.7945355191256831	0.8441219158200289	3660	0.9940226471134213
ora	macro avg	0.9465400869373101	0.9298938250273538	0.9339933714893716	57530	0.0
ora	weighted avg	0.9599299025718017	0.9567877629063097	0.956688305917507	57530	0.0
adobo	ACINAR_CELL	0.9429280397022333	0.9819121447028424	0.9620253164556961	1935	0.9979314686572534
adobo	B_CELL	0.990990990990991	0.2697180220678382	0.4240282685512367	2447	0.9998910734709439
adobo	DUCTAL_CELL_TYPE_1	0.9659685863874345	0.2503634777551614	0.39765991840504966	10317	0.998072564759706
adobo	DUCTAL_CELL_TYPE_2	0.9843483651015031	0.5613787008395935	0.714993246285457	11315	0.9978145623715244
adobo	ENDOCRINE_CELL	0.9772727272727273	0.5898491083676269	0.7356715141146278	729	0.9998239467615007
