method	class	precision	recall	f1_score	support	specificity
cibersort	BCELL	0.43996494303242767	0.98046875	0.6073805202661826	512	0.8217573221757322
cibersort	CAF	0.10894941634241245	1.0	0.19649122807017544	56	0.886661717396684
cibersort	ENDOTHELIAL	0.9538461538461539	1.0	0.9763779527559054	62	0.9992565055762082
cibersort	MACROPHAGE	0.41522491349480967	1.0	0.58679706601467	120	0.9575056575308021
cibersort	MELANOMA	0.0	0.0	0.0	1252	1.0
cibersort	NK	0.0	0.0	0.0	51	1.0
cibersort	TCELL	0.9698275862068966	0.9907045009784736	0.9801548886737658	2044	0.9693132001948368
cibersort	macro avg	0.4125447161318143	0.7101676072826392	0.4781716651115285	4097	0.0
cibersort	weighted avg	0.5669163425707867	0.6748840615084208	0.5995533338027872	4097	0.0
gsea	BCELL	0.9785575048732943	0.98046875	0.9795121951219513	512	0.996931659693166
gsea	CAF	0.04284621270084162	1.0	0.08217168011738812	56	0.6904231625835189
gsea	ENDOTHELIAL	0.9538461538461539	1.0	0.9763779527559054	62	0.9992565055762082
gsea	MACROPHAGE	0.967741935483871	1.0	0.9836065573770492	120	0.9989942167462912
gsea	MELANOMA	0.0	0.0	0.0	1252	1.0
gsea	NK	0.0	0.0	0.0	51	1.0
gsea	TCELL	0.9698275862068966	0.9907045009784736	0.9801548886737658	2044	0.9693132001948368
gsea	macro avg	0.5589741990158653	0.7101676072826392	0.571689039149437	4097	0.0
gsea	weighted avg	0.6495035173077365	0.6748840615084208	0.6561182988514282	4097	0.0
gsva	BCELL	0.9785575048732943	0.98046875	0.9795121951219513	512	0.996931659693166
gsva	CAF	0.04284621270084162	1.0	0.08217168011738812	56	0.6904231625835189
gsva	ENDOTHELIAL	0.9538461538461539	1.0	0.9763779527559054	62	0.9992565055762082
gsva	MACROPHAGE	0.967741935483871	1.0	0.9836065573770492	120	0.9989942167462912
gsva	MELANOMA	0.0	0.0	0.0	1252	1.0
gsva	NK	0.0	0.0	0.0	51	1.0
gsva	TCELL	0.9698275862068966	0.9907045009784736	0.9801548886737658	2044	0.9693132001948368
gsva	macro avg	0.5589741990158653	0.7101676072826392	0.571689039149437	4097	0.0
gsva	weighted avg	0.6495035173077365	0.6748840615084208	0.6561182988514282	4097	0.0
metaneighbor	BCELL	0.9785575048732943	0.98046875	0.9795121951219513	512	0.996931659693166
metaneighbor	CAF	0.04903677758318739	1.0	0.09348914858096827	56	0.7312546399406088
metaneighbor	ENDOTHELIAL	0.9538461538461539	1.0	0.9763779527559054	62	0.9992565055762082
metaneighbor	MACROPHAGE	0.41522491349480967	1.0	0.58679706601467	120	0.9575056575308021
metaneighbor	MELANOMA	0.0	0.0	0.0	1252	1.0
metaneighbor	NK	0.0	0.0	0.0	51	1.0
metaneighbor	TCELL	0.9698275862068966	0.9907045009784736	0.9801548886737658	2044	0.9693132001948368
metaneighbor	macro avg	0.48092756228633454	0.7101676072826392	0.5166187501638945	4097	0.0
metaneighbor	weighted avg	0.6334050620953187	0.6748840615084208	0.6446505515413172	4097	0.0
ora	BCELL	0.3414965986394558	0.98046875	0.5065590312815339	512	0.7299860529986053
