method	class	precision	recall	f1_score	support	specificity
cibersort	GMP	0.4605543710021322	0.4816053511705686	0.4708446866485014	897	0.9759459973378969
cibersort	GMP_LIKE	0.5533650577838205	0.2675871137409599	0.3607356525592732	3042	0.9652215340638399
cibersort	HSC_PROG	0.6070707070707071	0.7099822799763733	0.6545058535257283	3386	0.9161050304631477
cibersort	HSC_PROG_LIKE	0.925904652498564	0.25587301587301586	0.400945156075115	6300	0.9917482249088466
cibersort	MYELOID	0.0	0.0	0.0	3806	1.0
cibersort	MYELOID_LIKE	0.32192722274470087	0.9884495779653487	0.4856753069577081	4502	0.46227984625093227
cibersort	macro avg	0.4781370018499875	0.45058288978771105	0.3954511092943876	21933	0.0
cibersort	weighted avg	0.521338205363895	0.44280308211370994	0.3851879393719034	21933	0.0
gsea	GMP	0.0	0.0	0.0	897	1.0
gsea	GMP_LIKE	0.2462686567164179	0.07593688362919132	0.11608040201005025	3042	0.9625747710549998
gsea	HSC_PROG	0.28438645097863974	0.9397519196692262	0.43663807890222983	3386	0.5682859761686526
gsea	HSC_PROG_LIKE	0.03923278116826504	0.02857142857142857	0.03306392358559882	6300	0.7180323674278769
gsea	MYELOID	0.5874961691694759	0.5036784025223332	0.5423680860093365	3806	0.9257461245655652
gsea	MYELOID_LIKE	0.9713554987212276	0.4218125277654376	0.5881988539569459	4502	0.9967873329126269
gsea	macro avg	0.35478992612567106	0.3282918603596028	0.2860582240773602	21933	0.0
gsea	weighted avg	0.3906579662247335	0.3378014863447773	0.307855743059887	21933	0.0
gsva	GMP	0.25446670276123445	0.5239687848383501	0.34256559766763856	897	0.9345407872219053
gsva	GMP_LIKE	0.6340300696736341	0.5683760683760684	0.5994106430923903	3042	0.9471706103435499
gsva	HSC_PROG	0.9515873015873015	0.7082102776137035	0.8120555367422959	3386	0.9934221167843856
gsva	HSC_PROG_LIKE	0.7704918032786885	0.8803174603174603	0.8217513705734183	6300	0.8943261050342225
gsva	MYELOID	0.644565599718607	0.9629532317393589	0.7722292456805732	3806	0.8885088541953992
gsva	MYELOID_LIKE	0.9713554987212276	0.4218125277654376	0.5881988539569459	4502	0.9967873329126269
gsva	macro avg	0.704416162623449	0.6776063917750631	0.6560352079522104	21933	0.0
gsva	weighted avg	0.7777963888171409	0.7161355035790817	0.7132867345548399	21933	0.0
metaneighbor	GMP	0.4605543710021322	0.4816053511705686	0.4708446866485014	897	0.9759459973378969
metaneighbor	GMP_LIKE	0.6340300696736341	0.5683760683760684	0.5994106430923903	3042	0.9471706103435499
metaneighbor	HSC_PROG	0.9515873015873015	0.7082102776137035	0.8120555367422959	3386	0.9934221167843856
metaneighbor	HSC_PROG_LIKE	0.7704918032786885	0.8803174603174603	0.8217513705734183	6300	0.8943261050342225
metaneighbor	MYELOID	0.5593631539044731	0.9692590646347872	0.709354869724065	3806	0.8396866552656259
metaneighbor	MYELOID_LIKE	0.9713554987212276	0.4218125277654376	0.5881988539569459	4502	0.9967873329126269
metaneighbor	macro avg	0.7245636996945762	0.6715967916463376	0.6669359934562694	21933	0.0
metaneighbor	weighted avg	0.771439763168278	0.7154971960060184	0.7076225056725787	21933	0.0
ora	GMP	0.4605543710021322	0.4816053511705686	0.4708446866485014	897	0.9759459973378969
ora	GMP_LIKE	0.5533650577838205	0.2675871137409599	0.3607356525592732	3042	0.9652215340638399
ora	HSC_PROG	0.3171434451533237	0.9102185469580626	0.47039072039072033	3386	0.6422062867310077
ora	HSC_PROG_LIKE	0.0	0.0	0.0	6300	1.0
ora	MYELOID	0.5874961691694759	0.5036784025223332	0.5423680860093365	3806	0.9257461245655652
ora	MYELOID_LIKE	0.4719547608130827	0.6859173700577521	0.559167043911272	4502	0.8017899145201078
ora	macro avg	0.3984189673203058	0.474834464074946	0.40058436491985056	21933	0.0
ora	weighted avg	0.34336626247644975	0.4255231842429216	0.35079886405380367	21933	0.0
adobo	GMP	0.0	0.0	0.0	897.0	1.0
adobo	GMP_LIKE	0.0	0.0	0.0	3042.0	1.0
adobo	HSC_PROG	0.0	0.0	0.0	3386.0	1.0
adobo	HSC_PROG_LIKE	0.0	0.0	0.0	6300.0	1.0
adobo	MYELOID	0.0	0.0	0.0	3806.0	1.0
adobo	MYELOID_LIKE	0.0	0.0	0.0	4502.0	1.0
adobo	Unknown	0.0	0.0	0.0	0.0	0.0
adobo	macro avg	0.0	0.0	0.0	21933.0	0.0
adobo	weighted avg	0.0	0.0	0.0	21933.0	0.0
sccatch	GMP	0.0	0.0	0.0	897.0	1.0
sccatch	GMP_LIKE	0.0	0.0	0.0	3042.0	1.0
sccatch	HSC_PROG	0.0	0.0	0.0	3386.0	1.0
sccatch	HSC_PROG_LIKE	0.0	0.0	0.0	6300.0	1.0
sccatch	MYELOID	0.0	0.0	0.0	3806.0	1.0
sccatch	MYELOID_LIKE	0.0	0.0	0.0	4502.0	1.0
sccatch	Unknown	0.0	0.0	0.0	0.0	0.0
sccatch	macro avg	0.0	0.0	0.0	21933.0	0.0
sccatch	weighted avg	0.0	0.0	0.0	21933.0	0.0
SVM	GMP	0.7791164658634538	0.6488294314381271	0.7080291970802921	897	0.992156303479749
SVM	GMP_LIKE	0.7499191200258816	0.7619986850756082	0.7559106473177889	3042	0.9590810438833307
