GeneSym	Count_NonImmune	NonImmuneEnrichment
TSC22D1	67	0.99
HFE	67	0.99
CST3	66	0.97
NCKAP1	66	0.97
C8orf30A	66	0.97
AFFX-r2-Ec-bioC-3_at	65	0.96
PRDX1	65	0.96
HSP90AB1	65	0.96
AFFX-r2-Ec-bioC-5_at	64	0.94
CD81	64	0.94
HSBP1	64	0.94
214041_x_at	64	0.94
EPHX1	63	0.93
COX6C	63	0.93
CHCHD2	63	0.93
215063_x_at	63	0.93
PPA1	63	0.93
LGALS1	62	0.91
UQCRQ	62	0.91
CTTN	62	0.91
MIF	62	0.91
TUFM	62	0.91
PCSK7	62	0.91
LOC644936	62	0.91
EEF1A1	62	0.91
ASS1	61	0.90
SEPP1	61	0.90
ALDH2	61	0.90
SQSTM1	61	0.90
PSMB5	61	0.90
C19orf53	61	0.90
SPARCL1	60	0.88
211456_x_at	60	0.88
S100A13	60	0.88
CTNNA1	60	0.88
COX7C	60	0.88
ATP5H	60	0.88
EEF2	60	0.88
ATP5J2	60	0.88
PRPF8	60	0.88
SCAMP3	60	0.88
DYNC1I2	60	0.88
GSTA4	59	0.87
NDUFA10	59	0.87
CSNK2B	59	0.87
RPS15	59	0.87
CLU	58	0.85
IGFBP7	58	0.85
MT1E	58	0.85
LGALS3	58	0.85
NGFRAP1	58	0.85
COMT	58	0.85
PSMB4	58	0.85
FAM115A	58	0.85
ARCN1	58	0.85
NUCKS1	58	0.85
COX7A2L	58	0.85
APOD	57	0.84
DKK3	57	0.84
A2M	57	0.84
MT2A	57	0.84
PEBP1	57	0.84
LOC339047	57	0.84
SEPW1	57	0.84
MGST3	57	0.84
PKIG	57	0.84
UQCRFS1	57	0.84
NDUFC1	57	0.84
COX6A1	57	0.84
C22orf28	57	0.84
NHP2	57	0.84
SPCS1	57	0.84
RPL38	57	0.84
PMP22	56	0.82
SPARC	56	0.82
ECHS1	56	0.82
NDUFAB1	56	0.82
NDUFB4	56	0.82
COX6B1	56	0.82
GPI	56	0.82
TBK1	56	0.82
GLO1	56	0.82
RPS27	56	0.82
RHOB	55	0.81
CSRP1	55	0.81
FLOT1	55	0.81
ATP6V0D1	55	0.81
CD63	55	0.81
ATP5A1	55	0.81
SF3B2	55	0.81
NDUFV1	55	0.81
NDUFA13	55	0.81
RPL24	55	0.81
NDUFS5	55	0.81
MRPL49	55	0.81
C1orf123	55	0.81
AFFX-hum_alu_at	55	0.81
PEA15	54	0.79
CAPN2	54	0.79
RPL35	54	0.79
RNPS1	54	0.79
POLR2J	54	0.79
COX5A	53	0.78
DYNC1LI2	53	0.78
ATP5O	53	0.78
DOCK1	53	0.78
RPL13	53	0.78
GHITM	53	0.78
CAPNS1	53	0.78
STUB1	53	0.78
RRAGA	53	0.78
PIP4K2C	53	0.78
HMGN3	53	0.78
FAM96B	53	0.78
IMP3	53	0.78
SUMO2	53	0.78
LSM1	53	0.78
ABLIM1	52	0.76
NDRG1	52	0.76
MXRA7	52	0.76
S100A6	52	0.76
U2AF1	52	0.76
NF2	52	0.76
SOD1	52	0.76
UFC1	52	0.76
UBL5	52	0.76
IARS	52	0.76
USP22	52	0.76
VAPA	52	0.76
UBB	52	0.76
KLHDC2	52	0.76
LRRC47	52	0.76
SPAG7	52	0.76
PTGES3	52	0.76
C7orf28B	52	0.76
GNB2	52	0.76
HSP90AA1	52	0.76
PFN2	51	0.75
ZCCHC24	51	0.75
GSTO1	51	0.75
RAB11A	51	0.75
CIRBP	51	0.75
ALDH9A1	51	0.75
GABARAPL2	51	0.75
TMSL3	51	0.75
AFFX-M27830_M_at	51	0.75
HSPA8	51	0.75
RPS24	51	0.75
CRYAB	50	0.74
GJA1	50	0.74
PFKM	50	0.74
216336_x_at	50	0.74
UQCRC1	50	0.74
POLR2I	50	0.74
APP	50	0.74
NDUFB2	50	0.74
PA2G4	50	0.74
STARD7	50	0.74
208082_x_at	50	0.74
NDUFB6	50	0.74
LRPAP1	50	0.74
MORF4L2	50	0.74
ACTG1	50	0.74
VPS28	50	0.74
ATP5E	50	0.74
IFRD2	50	0.74
STAU1	50	0.74
217092_x_at	50	0.74
HTRA1	49	0.72
DDAH1	49	0.72
PCDHGA1	49	0.72
ATP1B1	49	0.72
PLXNB2	49	0.72
ALDOA	49	0.72
NDUFA4	49	0.72
CDK2AP1	49	0.72
TMSB10	49	0.72
RPL5	49	0.72
RBBP7	49	0.72
C11orf10	49	0.72
RPL7	49	0.72
216366_x_at	49	0.72
ACTA2	48	0.71
NBL1	48	0.71
LAPTM4B	48	0.71
PLS3	48	0.71
FAM102A	48	0.71
ATP5G3	48	0.71
DBI	48	0.71
FAM162A	48	0.71
IPO13	48	0.71
ATP5J	48	0.71
DDB1	48	0.71
MAGED1	48	0.71
FTL	48	0.71
NDUFA3	48	0.71
PKM2	48	0.71
COX7A2	48	0.71
C11orf2	48	0.71
CCT3	48	0.71
NDST1	48	0.71
ATP2B4	48	0.71
RPL3	48	0.71
CUTA	48	0.71
CYB5R3	48	0.71
ANAPC5	48	0.71
222229_x_at	48	0.71
EIF4H	48	0.71
215628_x_at	48	0.71
RPS14	48	0.71
VPS52	48	0.71
ARFIP2	48	0.71
ZBED1	48	0.71
PTPRF	47	0.69
CEBPD	47	0.69
CD9	47	0.69
NFE2L1	47	0.69
GABARAPL1	47	0.69
LOC340508	47	0.69
RAB13	47	0.69
NDUFA6	47	0.69
UQCRH	47	0.69
PLCD1	47	0.69
CCT7	47	0.69
JTB	47	0.69
TXNL1	47	0.69
VPS4A	47	0.69
RPS13	47	0.69
RPL23A	47	0.69
