Input_Sample	P-value	Pearson Correlation	RMSE
clust1	0.5160642570281124	-0.006727501552943018	1.5310753859859139
clust2	0.822289156626506	-0.07320598486026718	1.1167106174131525
clust3	0.5642570281124498	-0.027319043686499483	1.230696924739315
clust4	0.1817269076305221	0.19650163342438284	1.4599956940819185
clust5	0.12349397590361445	0.23570067967381403	1.74427443496811
clust6	0.19176706827309237	0.19128733819280613	1.7742199323019259
clust7	0.12048192771084337	0.23825570783310718	1.7425360646931252
clust8	0.7891566265060241	-0.06777598408915128	1.3959811555431443
clust9	0.9206827309236948	-0.10385496151472681	1.171540553128962
clust10	0.8152610441767069	-0.0723197441714917	1.2292128634765354
