Pvalue.All.mLog	BCELL	STROMAL	TCELL
clust1	0.127455033997639	NA	3.29795104029666
clust2	3.81671282562382	0.0514251978232684	0.052944404087703
clust3	1.53411274564813	1.47412930623958	0.00304105933720029
clust4	5.51342876216498	NA	0.33996554111064
clust5	2.17936698745834	NA	0.107264549402383
clust6	2.88240358824699	0.274975411755057	0.0152674567461732
clust7	29.9336062089226	NA	NA
clust8	2.26136234678548	NA	0.524276414754003
clust9	2.41935747703087	0.0387144877070066	0.190468251177724
clust10	3.10109278921182	NA	0.0868269939892199
