CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
BCELL	clust1	0.127628510179128	0.285552348174606	0.331209840189133	0
TCELL	clust1	0.873687160505779	0.124120566446715	0.331209840189133	0
STROMAL	clust1	0.11818650236704	0.278196762733973	0.331209840189133	0
BCELL	clust2	-0.340139347885985	0.296615110534491	0.33573098242876	0
TCELL	clust2	-0.692861304417137	0.124322015017339	0.33573098242876	0
STROMAL	clust2	-0.322307459649824	0.267797371433216	0.33573098242876	0
BCELL	clust3	-0.462147738472471	0.300552811764983	0.339859741259147	0
TCELL	clust3	-0.549816087175053	0.264274396967481	0.336234257723397	0
STROMAL	clust3	0.905661414941235	0.124448198996709	0.336234257723397	0
BCELL	clust4	0.4761984574581	0.413526396440892	0.84232727800211	0
TCELL	clust4	0.419474714719099	0.19141473045415	0.360687842436313	0
STROMAL	clust4	0.589753220490905	0.13759732776773	0.311662915149261	0
BCELL	clust5	-0.487966721403845	0.277807612216127	0.331452633291747	0
TCELL	clust5	-0.677132189243805	0.124123736220167	0.331452633291747	0
STROMAL	clust5	-0.490582639061113	0.28595194892207	0.331452633291747	0
BCELL	clust6	0.164089242165881	0.281471616263559	0.328850039475999	0
TCELL	clust6	-0.218212822135068	0.124106689281415	0.328850039475999	0
STROMAL	clust6	0.163592740856588	0.282231739299001	0.328850039475999	0
BCELL	clust7	0.766361679136657	0.126066438351101	0.329242732093246	0
TCELL	clust7	0.0554265497386659	0.328350919262715	0.449808471658158	0
STROMAL	clust7	-0.0591712722371559	0.241741128458956	0.339684718329101	0
BCELL	clust8	-0.0924771240326553	0.378298231999854	0.686848875281357	0
TCELL	clust8	0.590005225666225	0.131724447270928	0.311303164354619	0
STROMAL	clust8	-0.330624147107797	0.209452259951692	0.362393730540611	0
BCELL	clust9	-0.277081146148411	0.13999633970631	0.314584156638628	0
TCELL	clust9	0.413899969071959	0.185865836067559	0.359436768003541	0
STROMAL	clust9	0.166670580064487	0.425790561663889	0.890501754926436	0
BCELL	clust10	-0.387670966616451	0.186002974815226	0.35947099556191	0
TCELL	clust10	-0.451946040756992	0.425478099600641	0.889311005824145	0
STROMAL	clust10	-0.567626275124625	0.139932926081478	0.314494741807676	0
