MetaNeighborUS	BCELL	MYELOID	TCELL	STROMAL	TUMOR
clust1	0.430555555555556	0.298611111111111	1	0	0.298611111111111
clust2	0.763888888888889	0.631944444444444	0.111111111111111	0.944444444444444	0.631944444444444
clust3	0.652777777777778	0.118055555555556	0.416666666666667	1	0.118055555555556
clust4	0.833333333333333	0.0625	0.597222222222222	0.416666666666667	0.0625
clust5	0.944444444444444	0.576388888888889	0.0555555555555556	0.763888888888889	0.576388888888889
clust6	0.486111111111111	0.340277777777778	0.777777777777778	0.472222222222222	0.340277777777778
clust7	1	0.354166666666667	0	0.652777777777778	0.354166666666667
clust8	0.597222222222222	0.409722222222222	0.944444444444444	0.0555555555555556	0.409722222222222
clust9	0.25	0.395833333333333	0.833333333333333	0.708333333333333	0.395833333333333
clust10	0.541666666666667	0.6875	0.888888888888889	0.111111111111111	0.6875
