Pvalue.P0.01.Q0.25	ASTOCYTE	IMMUNE	NEOPLASTIC	NEURON	OLIGODENDROCYTE	OPC	VASCULAR
clust1	NS	0.0	NS	NS	NS	NS	NS
clust2	NS	0.0	NS	NS	NS	NA	NS
clust3	NS	0.0	NS	NS	NS	NA	NS
clust4	NS	NS	NS	NS	NS	0.0	NS
clust5	NS	NS	0.0	NS	NS	NS	NS
clust6	NS	NS	0.0	NS	NS	NS	NS
clust7	NS	NS	0.0	NS	NS	NS	NS
clust8	NS	0.0	NS	NS	NS	NA	NS
clust9	NS	NS	0.0	NS	NA	NS	NA
clust10	NS	0.0	NS	NS	NS	NA	NS
clust11	NS	NS	NS	NS	0.0	NS	NS
clust12	0.0	NS	NS	NS	NS	NS	NS
clust13	NS	NS	0.0	NS	NS	NS	NS
clust14	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	0.005	NS	NA	NS	0.003
clust16	NS	NS	NS	0.0	NS	NS	NS
