ORA.Pval.Corrected.cutoff_pos	ASTOCYTE	IMMUNE	NEOPLASTIC	NEURON	OLIGODENDROCYTE	OPC	VASCULAR
clust1	1	6.49359813533221e-29	1	1	1	1	1
clust2	1	5.25625108251967e-22	1	1	1	1	1
clust3	1	1.91825582359769e-13	1	1	1	1	1
clust4	1	1	0.332689667552718	1	1	2.60200377853733e-18	1
clust5	1	1	5.51743934450743e-18	1	1	1	1
clust6	1	1	5.51743934450743e-18	1	1	1	1
clust7	1	1	1.91135515322624e-07	1	1	1	1
clust8	1	8.70165184009038e-16	1	1	1	1	1
clust9	1	1	2.81743291104612e-18	1	1	1	1
clust10	1	1.28176328029362e-18	1	1	1	1	1
clust11	0.99955946800647	0.99955946800647	0.935957992611206	0.99955946800647	3.01035073837373e-12	0.270184220198192	0.99955946800647
clust12	4.47697074535564e-15	1	0.00385198088588358	1	1	1	1
clust13	1	1	1.29711036276168e-10	1	1	1	1
clust14	1	0.543543855961965	0.00796731897240281	1	1	1	1
clust15	1	1	0.014149193020705	1	1	1	5.07395455554502e-07
clust16	1	1	0.762330720651686	0.000228654957490674	1	0.621971210172341	1
