Input_Sample	B.CELL	CAF	ENDO.	MACROPHAGE	MAL	NK	T.CD4	T.CD8	T.CELL
clust1	0.0017715333641776833	0	0.0021775770606498527	0.0023870261505833904	0	0.008778262527522946	0	0.8956672173151964	0.08921838358182653
clust2	0.014376498878958859	0	0	3.0856345516397276E-5	0	0.018381937885461826	0.7813466501839977	0.18586405670606457	0
clust3	0.3333778652610474	0	0	0	0	0.10455240905941672	0.45694098317304616	0	0.10512874250648974
clust4	7.871050909043857E-4	0	0	8.717031070505283E-4	0	0.003415196902334025	0.9764219740706349	0.01850402082907611	0
clust5	0	0	0	0.0010173976352393721	0	0.012769675756212196	0	0.952343749730236	0.03386917687831077
clust6	0	0.5080989463044764	0	0	0	0	0.49190105369552367	0	0
clust7	0	0	0	0.9495866820047607	0	0	0.05041331799523716	0	0
clust8	0	0	0	0	1.0	0	0	0	0
clust9	0	0	0	0.0896928474002121	0	0	0.9103071525997879	0	0
clust10	0	0.7317679853333561	0	0.2682320146666439	0	0	0	0	0
clust11	1.6397773166939696E-4	0	0	0	0	0.003047870503121292	0.08051861482270466	0.8969937269046888	0.019275810037815703
clust12	0	0.5464593946464138	0.3392105127214632	0.11433009262850759	0	0	0	0	0
clust13	0	0.43008450038802065	0.21252423845787716	0.20818078738638277	0	0.05721214898000772	0	0	0.09199832478756277
clust14	0	0.8291442782211799	0	0.17085572177825725	0	0	0	0	0
clust15	0	0.5042374397069376	0.4957625602926756	0	0	0	0	0	0
clust16	0	0.01968924663663816	0.9432201919634995	0.001452364054223479	0	0	0.03563819734563886	0	0
clust17	0	0.997020608005553	0.0016598802069467417	0	0	0	0.001192908384294566	0	1.2660340320568426E-4
