Pvalue.All.mLog	CAF	ENDO.	T.CD8	T.CELL
clust1	1.11803039570168	29.9336062089226	NA	NA
clust2	0.715620013684731	0.980829253011726	NA	NA
clust3	NA	NA	0	NA
clust4	NA	NA	NA	NA
clust5	1.49165487677772	0.22314355131421	NA	NA
clust6	NA	NA	0	NA
clust7	1.33500104673234	NA	NA	NA
clust8	NA	NA	NA	NA
clust9	NA	NA	NA	NA
clust10	NA	NA	NA	NA
clust11	2.14843438459536	1.67397643357167	NA	NA
clust12	NA	NA	NA	NA
clust13	NA	NA	29.9336062089226	NA
clust14	NA	NA	NA	NA
clust15	NA	NA	NA	NA
clust16	NA	NA	0.693147180559945	NA
clust17	NA	NA	0.510825623765991	0
