FDRQvalue.All	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	1.0	NA	NA	0.99128574	0.37153575	0.54432124	0.00225	0.033375002
clust2	0.74072737	NA	NA	0.9578509	0.10758035	0.0015	0.07919046	0.07235714
clust3	0.007	1.0	0.94368434	1.0	0.6150141	0.72589606	NA	1.0
clust4	0.72945213	1.0	0.9501366	1.0	0.8215003	0.003	0.5530002	0.8913334
clust5	1.0	NA	NA	0.9796962	0.3859525	0.599348	0.0046071424	0.29160723
clust6	0.90309024	1.0	0.44987488	1.0	1.0	0.99930847	NA	0.789863
clust7	1.0	NA	1.0	0.00175	1.0	1.0	0.9700832	1.0
clust8	1.0	0.9847855	1.0	1.0	1.0	1.0	0.9996072	1.0
clust9	1.0	1.0	0.80812436	0.8243746	1.0	1.0	0.99034494	1.0
clust10	0.79596215	0.61401194	1.0	0.8145874	1.0	1.0	0.999	1.0
clust11	1.0	NA	NA	0.9978393	0.16675007	0.43066058	0.0031071429	0.1066964
clust12	0.8950239	1.0	1.0	1.0	0.91123796	1.0	0.99746424	1.0
clust13	1.0	0.934111	0.5049582	1.0	0.83438534	0.96211857	NA	1.0
clust14	1.0	0.24019042	0.23766656	1.0	1.0	1.0	0.99580353	1.0
clust15	1.0	1.0	0.8222142	0.53257143	1.0	1.0	0.9985	1.0
clust16	1.0	1.0	0.0018749998	1.0	1.0	1.0	NA	0.9607618
clust17	0.96527946	0.0	1.0	1.0	1.0	1.0	NA	NA
