ORA.Pval.Corrected.P0.05.cutoff_pos	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	NS	NS	NS	NS	NS	NS	4.92464388175655e-08	0.000123896175950662
clust2	NS	NS	NS	NS	NS	0.00113253658391202	NS	NS
clust3	0.00127598636607216	NS	NS	NS	NS	NS	NS	NS
clust4	NS	NS	NS	NS	NS	0.000138847838593471	NS	NS
clust5	NS	NS	NS	NS	NS	NS	7.52470490438509e-06	NS
clust6	NS	NS	NS	NS	NS	NS	NS	NS
clust7	NS	NS	NS	9.15700310894004e-08	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NS
clust11	NS	NS	NS	NS	NS	NS	4.02039624424966e-06	0.0336840178162192
clust12	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NS	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NS
clust16	NS	NS	3.94199663110213e-09	NS	NS	NS	NS	NS
clust17	NS	4.25436426291192e-08	NS	NS	NS	NS	NS	NS
