ORA.Pval.Corrected.cutoff_pos	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	1	1	1	1	0.625986210034027	0.625986210034027	4.92464388175655e-08	0.000123896175950662
clust2	1	1	1	1	0.256785139167847	0.00113253658391202	0.1058866014843	0.225874086686559
clust3	0.00127598636607216	1	1	1	0.889526007798332	0.889526007798332	1	1
clust4	1	1	1	1	0.762077575751637	0.000138847838593471	0.762077575751637	0.770748530041741
clust5	1	1	1	1	0.362883877655821	0.119020480343669	7.52470490438509e-06	0.119020480343669
clust6	1	1	0.152743852792705	1	1	1	1	1
clust7	1	1	1	9.15700310894004e-08	1	1	1	1
clust8	1	1	1	1	1	1	1	1
clust9	1	1	0.410766045548654	1	1	1	1	1
clust10	1	0.695652173913044	1	1	1	1	1	1
clust11	1	1	1	1	0.360878950572868	0.360878950572868	4.02039624424966e-06	0.0336840178162192
clust12	1	1	1	1	1	1	1	1
clust13	1	1	0.152743852792705	1	1	1	1	1
clust14	1	0.0626549300976132	0.797219367844168	1	1	1	1	1
clust15	1	1	1	0.77324414715719	1	1	1	1
clust16	1	1	3.94199663110213e-09	1	1	1	1	1
clust17	1	4.25436426291192e-08	1	1	1	1	1	1
