ORA.Pval.Uncorrected.P0.05.cutoff_pos	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	NS	NS	NS	NS	NS	NS	6.15580485219569e-09	3.09740439876655e-05
clust2	NS	NS	NS	NS	NS	0.000141567072989003	NS	NS
clust3	0.00015949829575902	NS	NS	NS	NS	NS	NS	NS
clust4	NS	NS	NS	NS	NS	1.73559798241839e-05	NS	NS
clust5	NS	NS	NS	NS	NS	NS	9.40588113048136e-07	NS
clust6	NS	NS	NS	NS	NS	NS	NS	NS
clust7	NS	NS	NS	1.1446253886175e-08	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	NS	NS	NS
clust9	NS	NS	NS	NS	NS	NS	NS	NS
clust10	NS	NS	NS	NS	NS	NS	NS	NS
clust11	NS	NS	NS	NS	NS	NS	5.02549530531208e-07	0.00842100445405479
clust12	NS	NS	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS	NS	NS
clust14	NS	NS	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS	NS	NS
clust16	NS	NS	4.92749578887766e-10	NS	NS	NS	NS	NS
clust17	NS	5.3179553286399e-09	NS	NS	NS	NS	NS	NS
