ORA.Pval.Uncorrected.cutoff_pos	B.CELL	CAF	ENDO.	MACROPHAGE	NK	T.CD4	T.CD8	T.CELL
clust1	0.968897703451055	1	1	0.969229386832201	0.312993105017013	0.279701490497778	6.15580485219569e-09	3.09740439876655e-05
clust2	0.872311616750089	1	1	0.973707615719448	0.128392569583923	0.000141567072989003	0.0264716503710749	0.0847027825074596
clust3	0.00015949829575902	1	1	0.917297756014188	0.329161870557005	0.333572252924374	1	0.897829158258093
clust4	0.62632929710596	1	1	0.897829158258093	0.285779090906864	1.73559798241839e-05	0.238329175664522	0.385374265020871
clust5	0.977372959971105	1	0.988636720307109	0.984054814534093	0.181441938827911	0.0444641242781498	9.40588113048136e-07	0.0446326801288759
clust6	0.753889369057908	1	0.0190929815990881	0.672433819234015	1	1	1	1
clust7	0.994689954714367	1	0.718172022555964	1.1446253886175e-08	0.590974236140803	0.495655061714728	0.990218949125106	0.884921583094675
clust8	1	0.309450978918492	1	0.170605066648056	0.515676474640813	1	1	1
clust9	1	1	0.0513457556935818	0.483803153368371	1	1	1	1
clust10	1	0.0869565217391305	1	1	1	1	1	1
clust11	0.896727204973427	1	1	0.979462601119912	0.15370268223652	0.180439475286434	5.02549530531208e-07	0.00842100445405479
clust12	1	1	0.462269988601205	0.170605066648056	0.515676474640813	1	1	1
clust13	1	0.372228162653175	0.0190929815990881	0.672433819234015	1	1	1	1
clust14	1	0.00783186626220165	0.199304841961042	0.740206132495943	1	1	1	1
clust15	1	1	0.370289855072464	0.0966555183946488	1	1	1	1
clust16	0.98466153385528	1	4.92749578887766e-10	0.814289803994711	0.933330875390592	1	1	1
clust17	0.970677826365811	5.3179553286399e-09	0.535066797539911	0.732156905807068	1	1	1	1
