Pvalue.All.mLog	CAF	ENDO.	T.CD8	T.CELL
clust1	0.693147180559945	0.980829253011726	NA	NA
clust2	0.256719854164887	0.575364144903562	NA	NA
clust3	NA	NA	0	NA
clust4	NA	NA	NA	NA
clust5	0.624154338406328	NA	NA	NA
clust6	NA	NA	0.287682072451781	NA
clust7	2.24070967727596	NA	NA	NA
clust8	NA	NA	NA	NA
clust9	NA	NA	NA	NA
clust10	NA	NA	0	NA
clust11	2.19722458733622	2.19722458733622	NA	NA
clust12	NA	NA	NA	NA
clust13	NA	NA	2.19722458733622	NA
clust14	NA	NA	NA	NA
clust15	NA	NA	0	NA
clust16	NA	NA	29.9336062089226	NA
clust17	NA	NA	0.22314355131421	0.405465058108166
