Input_Sample	ALVEOLAR_CELL	BASAL_CELLS	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	EPITHELIAL_CELLS	ERYTHROBLASTS	FIBROBLASTS	GRANULOCYTES	LANGERHANS_CELLS	LYMPHATIC_EC	MACROPHAGES	MAST_CELLS	NATURAL_KILLER_CELLS	SECRETORY_CLUB_CELLS	T_CELLS
clust1	0	0	0	0.155489666580593	0	0	0	0	0	0	0	0	0.8445103334194015	0	0	0	0
clust2	0	0	0	0	0	0.08490821822440839	0	0	0	0	0	0	0.9150917817755895	0	0	0	0
clust3	0	0	0	0	0.10795577574360979	0	0	0	0	0	0	0	0.8920442242563902	0	0	0	0
clust4	0	0	0	0	0	0.007459275158291985	0	0	0	0	0	0	0.8650250439451611	0	0	0	0.12751568089654686
clust5	0	0	0	0.22976088929018748	0	0	0	0	0	0	0	0	0.7702391107098124	0	0	0	0
clust6	0	0	0	0.5679869113494111	0	0.04830989753314862	0	0	0	0	0	0	0.11797183345568624	0	0	0	0.26573135766175277
clust7	0	0	0.5409531944073005	0	0	0	0	0	0	0	0	0	0.45904680559269956	0	0	0	0
clust8	0	0	0	0.010887254291851748	0	0.398871681833065	0	0	0	0	0	0	0.590241063875083	0	0	0	0
clust9	0	0	0	0	0.11926275197081995	0	0	0	0	0	0	0	0.8807372480291801	0	0	0	0
clust10	0	0	0	0.3510726116819761	0.29806344683566255	0	0	0	0	0	0	0	0.35086394148234007	0	0	0	0
clust11	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
clust12	0	0	0	0.11380626039780471	0	0.620916390031618	0	0	0	0	0	0	0.26527734957057736	0	0	0	0
clust13	0	0	0	0	0	0.9999999999999977	0	0	0	0	0	0	0	0	0	0	0
clust14	0	0	0	0	0	0.4558670568393905	0	0	0.5418036415912837	0	0	0	0.0023293015693257664	0	0	0	0
clust15	0	0	0	0	0	0.9999999999999966	0	0	0	0	0	0	0	0	0	0	0
clust16	0	0	0.4539394875038243	0	0	0	0	0	0	0	0	0	0.5460605124961757	0	0	0	0
clust17	0	0	0	0.24716657311613305	0	0.6649089469140506	0	0	0	0	0	0	0	0	0	0	0.08792447996981369
clust18	0	0	0	0	0.3128415229862368	0	0	0	0	0	0	0	0.6871584770137612	0	0	0	0
clust19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9999999999999987
clust20	0	0	0	0	0	0	0	0	0	0	0	0	0.12072055353734154	0.8792794464626584	0	0	0
clust21	0	0	0	0.005173080377859953	0.19754591383087963	0.011584942645227957	0	0	0	0	0	0	0.7856960631460325	0	0	0	0
clust22	0	0	0	0.8574772097662667	0	0	0	0	0	0	0	0	0.11147445610229419	0	0	0	0.03104833413143905
clust23	0	0	0	0.4328827689405501	0	0.5671172310594499	0	0	0	0	0	0	0	0	0	0	0
