Pvalue.All	B_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	MAST_CELLS	T_CELLS
clust1	0.10971787	NA	NA	0.0	0.8863198
clust2	0.38289964	NA	NA	0.025723472	0.8834587
clust3	0.114285715	NA	NA	0.0	0.74712646
clust4	0.16853933	NA	NA	0.0	NA
clust5	0.21311475	NA	NA	0.0	0.8776978
clust6	0.36090225	NA	0.89311594	0.022727273	NA
clust7	NA	NA	NA	0.5	0.52064633
clust8	0.10074627	NA	NA	0.043165468	NA
clust9	0.054347824	NA	NA	0.31141868	0.7761194
clust10	0.077922076	NA	NA	0.032258064	0.7462121
clust11	0.09191176	NA	NA	0.0	0.658363
clust12	0.7242647	0.91843975	NA	0.094915256	NA
clust13	0.09615385	NA	NA	0.0	0.754159
clust14	0.035598706	0.86013985	NA	0.12779553	0.7649123
clust15	0.44551283	NA	NA	0.016778523	NA
clust16	NA	NA	NA	0.49295774	0.6193182
clust17	0.102661595	NA	NA	0.032258064	NA
clust18	0.12587413	NA	NA	0.0	NA
clust19	0.07092199	NA	NA	0.0	NA
clust20	0.08223684	0.9066667	0.8998145	NA	0.759292
clust21	0.105802044	NA	NA	0.022364218	0.8699809
clust22	0.32423207	NA	NA	0.040590405	NA
clust23	0.61242604	NA	NA	0.051369864	NA
