Pvalue.All.mLog	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	NA	0.332672325437103	2.83170393878172	0.57492850647443	0.395685083835547	1.95210210973802	NA	NA
clust2	NA	0.388106877681963	0.906094020484075	0.530840593605252	0.394152092270668	29.9336062089226	NA	NA
clust3	NA	0.20677758237324	1.18997391428304	0.173443872307392	0.764424194429349	29.9336062089226	NA	NA
clust4	NA	0.73895673815374	3.05427865016879	0.29914350444341	0.448502586250862	1.13265810592198	NA	0.500775297912489
clust5	NA	0.427606213313736	1.58554361841522	0.625035737416849	0.467287960015633	29.9336062089226	NA	NA
clust6	NA	1.10578078102442	0.823577785599099	NA	1.71589374996019	0.171318473348614	NA	0.598413785245636
clust7	2.13286670689	0.215754368690121	0.143432475547533	0.175159116419352	0.34339268779912	1.93340990368239	NA	NA
clust8	NA	0.231415923228204	2.30258509299405	1.24155546781541	0.172154437559898	1.79175944922806	NA	0.155948257836294
clust9	NA	0.195947781554501	1.23535914249443	0.308927227691285	0.891289386458862	29.9336062089226	NA	NA
clust10	NA	0.873966138820717	0.580406525251556	0.607989380382904	0.416120172227497	1.82580528648193	NA	NA
clust11	NA	0.384977862275568	0.0172914694937824	29.9336062089226	1.09986465254849	0.87211304598934	NA	NA
clust12	NA	0.501933112933265	NA	29.9336062089226	1.80402953959765	1.37079017458393	NA	0.296571008916646
clust13	NA	0.203124648387683	0.119653001703594	29.9336062089226	0.717361454072697	0.827276511914205	NA	NA
clust14	NA	0.506241314454235	NA	0.90062458922302	1.45973364612547	0.525767195162039	NA	NA
clust15	NA	0.444335882497158	0.0499746904437594	29.9336062089226	1.03553369207696	0.778073068240372	NA	0.129440116178496
clust16	1.16650844034358	0.224408551089151	0.259777712479065	0.337340269252553	0.752982963591522	2.22786155319811	NA	NA
clust17	NA	0.984814891794965	0.110256481362058	29.9336062089226	1.57532986208074	0.166074891502033	NA	0.617213259323502
clust18	NA	0.0700477491033284	0.962553699596313	0.835194802110697	0.100991296833266	1.88540784060121	NA	0.560689343990564
clust19	NA	0.252702391055755	1.45212639047863	0.149745377436265	0.104372714804881	0.837041338791443	NA	29.9336062089226
clust20	NA	0.227335073482728	NA	NA	0.33956182649248	1.21825869682521	29.9336062089226	NA
clust21	NA	0.0980536757500758	1.20585784656888	0.338186765586351	1.31130377858133	1.23794787594552	NA	NA
clust22	NA	4.04555439805267	0.922676024534358	0.125880280035345	0.304075852475392	0.557014948053549	NA	0.373748877508155
clust23	NA	1.9704512536236	0.0252801266429585	2.10707349189365	0.381103389281487	0.59355279110157	NA	0.184888929677093
