CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
B_CELLS	clust1	-0.0997736451999279	0.434316108413048	1	0
MACROPHAGES	clust1	0.290520149121387	0.137267000450708	0.427963920446689	0
DENDRITIC_CELLS	clust1	0.515971781940425	0.0517282125255454	0.427963920446689	0
T_CELLS	clust1	-0.594709746138419	0.156126866468109	0.427963920446689	0
ENDOTHELIAL_CELL	clust1	-0.591603053434709	0.157900701723969	0.427963920446689	0
MAST_CELLS	clust1	0.0211708312990639	0.32536668003503	0.60490545614737	0
FIBROBLASTS	clust1	-0.486468115957858	0.225623709234889	0.427963920446689	0
CANCER_CELLS	clust1	-0.410218702395863	0.283600407030393	0.50726414719918	0
B_CELLS	clust2	0.0254760108294889	0.327831169911575	0.62114662047131	0
MACROPHAGES	clust2	0.401029646724762	0.0532251709749169	0.370140290249427	0
DENDRITIC_CELLS	clust2	0.044560827304572	0.306678375036084	0.581486442043446	0
T_CELLS	clust2	-0.53470619563249	0.0973218756090203	0.386193510221372	0
ENDOTHELIAL_CELL	clust2	-0.464583703177336	0.140339769862725	0.412618773834937	0
MAST_CELLS	clust2	0.117038746615743	0.232455088189603	0.483036254054485	0
FIBROBLASTS	clust2	-0.3496065433635	0.235433208641501	0.486035038472492	0
CANCER_CELLS	clust2	-0.181970676846608	0.4209315119569	0.897711244541696	0
B_CELLS	clust3	-0.0548577515423576	0.461197627732282	1	0
MACROPHAGES	clust3	0.987661991833836	0.0456384216165251	0.380115265113481	0
DENDRITIC_CELLS	clust3	0.498249067753601	0.19760579536397	0.500467789458298	0
T_CELLS	clust3	-0.462364636960401	0.213136301380248	0.52130648305126	0
ENDOTHELIAL_CELL	clust3	-0.70876974968889	0.111660523790237	0.408789365438931	0
MAST_CELLS	clust3	0.0738094181349809	0.451043819219996	1	0
FIBROBLASTS	clust3	0.280470483799357	0.316648764023823	0.688956728885165	0
CANCER_CELLS	clust3	-0.598178628918247	0.151910908394989	0.446288409989663	0
B_CELLS	clust4	-0.14912786827024	0.434135512421467	0.965002081892154	0
MACROPHAGES	clust4	0.0400319545537373	0.395743005977345	0.911959898837891	0
DENDRITIC_CELLS	clust4	0.514868158154955	0.089413175981928	0.394851802158161	0
T_CELLS	clust4	0.500976389135525	0.0946283424432491	0.405939452075654	0
ENDOTHELIAL_CELL	clust4	-0.659861530267637	0.0921719297383506	0.400677870163419	0
MAST_CELLS	clust4	-0.0443076951976419	0.471080411460763	1	0
FIBROBLASTS	clust4	-0.621110138042377	0.107606116955881	0.434699517077101	0
CANCER_CELLS	clust4	-0.191127257326297	0.396899359539026	0.913420080806286	0
B_CELLS	clust5	-0.101060760729643	0.464049692677803	1	0
MACROPHAGES	clust5	0.182762293627012	0.196107107428163	0.438772370748803	0
DENDRITIC_CELLS	clust5	0.306313388910849	0.117262484120376	0.331773104405733	0
T_CELLS	clust5	-0.577045979051614	0.11636992329913	0.331041717240456	0
ENDOTHELIAL_CELL	clust5	-0.668116456594636	0.0750871181244426	0.318402269437444	0
MAST_CELLS	clust5	-0.0406550974213433	0.400084069683303	0.964796049182174	0
FIBROBLASTS	clust5	-0.383306900049176	0.251147327434308	0.549784121311451	0
CANCER_CELLS	clust5	0.204924604809911	0.179997964127839	0.411244861171144	0
B_CELLS	clust6	0.019262349651556	0.424009683918834	0.940695809103114	0
MACROPHAGES	clust6	-0.800106515177944	0.0235891223430574	0.349015533590616	0
DENDRITIC_CELLS	clust6	0.12012726274553	0.488400534447654	0.994494762665454	0
T_CELLS	clust6	0.713474170069244	0.0921685085973403	0.630255589968594	0
ENDOTHELIAL_CELL	clust6	0.0378128883368021	0.439967562004942	0.952385374424473	0
MAST_CELLS	clust6	0.0427411122453166	0.444224568784291	0.955666335701849	0
FIBROBLASTS	clust6	0.110119840213115	0.497135582164559	1	0
CANCER_CELLS	clust6	0.611278962365792	0.134822125584129	0.724212656402761	0
B_CELLS	clust7	0.976965070347535	0.043650314170557	0.41679295123717	0
MACROPHAGES	clust7	0.692969998224762	0.109412946703835	0.41679295123717	0
DENDRITIC_CELLS	clust7	-0.231164784332767	0.36964402718058	0.655165814759588	0
T_CELLS	clust7	-0.552636250665326	0.190429600444215	0.41679295123717	0
ENDOTHELIAL_CELL	clust7	-0.42162258121747	0.256296025886507	0.453606190513495	0
MAST_CELLS	clust7	0.178598375571406	0.35942425558078	0.626319447416751	0
FIBROBLASTS	clust7	-0.328584110075737	0.309416480696233	0.520394102037839	0
CANCER_CELLS	clust7	-0.589147069310483	0.174110943278079	0.41679295123717	0
B_CELLS	clust8	-0.179130975100933	0.310270723487536	0.724117961531196	0
MACROPHAGES	clust8	0.200514823362494	0.328680956217235	0.747607402520137	0
DENDRITIC_CELLS	clust8	0.728328402483604	0.0401859824757531	0.370861528686052	0
T_CELLS	clust8	0.048198118232059	0.473303409472358	1	0
