ORA.Pval.Uncorrected.cutoff_pos.mLog	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	0	0.660711904806792	0.990398704027878	0	0	1.6094379124341	0	0
clust2	0	0.990398704027878	0	0	0	2.01490302054227	0	0
clust3	0	0	0.990398704027878	0	0.660711904806792	1.6094379124341	0	0
clust4	0	0.660711904806792	0.990398704027878	0	0	1.6094379124341	0	0
clust5	0	0.660711904806792	0.990398704027878	0	0	1.6094379124341	0	0
clust6	0	1.87180217690159	0.741937344729378	0	0.450416495970431	0	0	0
clust7	2.86220088092947	0.450416495970431	0	0	0	1.32175583998232	0	0
clust8	0	0	1.35812348415319	0	0	2.01490302054227	0	0
clust9	0	0	0.990398704027878	0	0.660711904806792	1.6094379124341	0	0
clust10	0	0.660711904806792	0.990398704027878	0	0	1.6094379124341	0	0
clust11	0	0.660711904806792	0	1.6094379124341	0.660711904806792	0	0	0
clust12	0	0.450416495970431	0	1.32175583998232	0.450416495970431	1.32175583998232	0	0
clust13	0	0.450416495970431	0	1.32175583998232	0.450416495970431	1.32175583998232	0	0
clust14	0	0.450416495970431	0	1.32175583998232	1.87180217690159	0	0	0
clust15	0	0.660711904806792	0	1.6094379124341	0.660711904806792	0	0	0
clust16	1.35812348415319	0	0	0	0	2.01490302054227	0	0
clust17	0	1.41981705315853	0	1.09861228866811	0.306166887125884	0	0	1.09861228866811
clust18	0	0.306166887125884	0.559615787935424	1.09861228866811	0	1.09861228866811	0	1.09861228866811
clust19	0	0.660711904806792	0.990398704027878	0	0	0	0	1.6094379124341
clust20	0	0	0	0	0	1.6094379124341	3.55534806148941	0
clust21	0	0	0.990398704027878	0	0.660711904806792	1.6094379124341	0	0
clust22	0	1.87180217690159	0.741937344729378	0	0.450416495970431	0	0	0
clust23	0	1.87180217690159	0	1.32175583998232	0.450416495970431	0	0	0
