ORA.Pval.Uncorrected.cutoff_pos	B_CELLS	CANCER_CELLS	DENDRITIC_CELLS	ENDOTHELIAL_CELL	FIBROBLASTS	MACROPHAGES	MAST_CELLS	T_CELLS
clust1	1	0.516483516483516	0.371428571428571	1	1	0.2	1	1
clust2	1	0.371428571428571	1	1	1	0.133333333333333	1	1
clust3	1	1	0.371428571428571	1	0.516483516483516	0.2	1	1
clust4	1	0.516483516483516	0.371428571428571	1	1	0.2	1	1
clust5	1	0.516483516483516	0.371428571428571	1	1	0.2	1	1
clust6	1	0.153846153846154	0.476190476190476	1	0.637362637362637	1	1	1
clust7	0.0571428571428572	0.637362637362637	1	1	1	0.266666666666667	1	1
clust8	1	1	0.257142857142857	1	1	0.133333333333333	1	1
clust9	1	1	0.371428571428571	1	0.516483516483516	0.2	1	1
clust10	1	0.516483516483516	0.371428571428571	1	1	0.2	1	1
clust11	1	0.516483516483516	1	0.2	0.516483516483516	1	1	1
clust12	1	0.637362637362637	1	0.266666666666667	0.637362637362637	0.266666666666667	1	1
clust13	1	0.637362637362637	1	0.266666666666667	0.637362637362637	0.266666666666667	1	1
clust14	1	0.637362637362637	1	0.266666666666667	0.153846153846154	1	1	1
clust15	1	0.516483516483516	1	0.2	0.516483516483516	1	1	1
clust16	0.257142857142857	1	1	1	1	0.133333333333333	1	1
clust17	1	0.241758241758242	1	0.333333333333333	0.736263736263736	1	1	0.333333333333333
clust18	1	0.736263736263736	0.571428571428571	0.333333333333333	1	0.333333333333333	1	0.333333333333333
clust19	1	0.516483516483516	0.371428571428571	1	1	1	1	0.2
clust20	1	1	1	1	1	0.2	0.0285714285714286	1
clust21	1	1	0.371428571428571	1	0.516483516483516	0.2	1	1
clust22	1	0.153846153846154	0.476190476190476	1	0.637362637362637	1	1	1
clust23	1	0.153846153846154	1	0.266666666666667	0.637362637362637	1	1	1
