Pvalue.P0.01.Q0.25	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	NS	0.0	NS	NS	NS	NS	0.0	NS	0.0	0.0
clust2	NS	0.0	NS	NS	NS	NS	NS	0.0	NS	0.0
clust3	NS	0.0	NS	NS	NS	0.0	NS	NS	0.004	0.0
clust4	NS	0.0	NS	0.0	NS	NS	NS	NS	NS	0.0
clust5	0.002	0.0	0.0	NS	NS	NS	NS	NS	NS	0.0
clust6	NS	0.0	NS	0.0	NS	NS	NS	NS	NS	0.0
clust7	0.0	0.0	NS	NS	NS	0.0	NS	NS	NS	0.0
clust8	NS	0.0	NS	NS	NS	NS	0.0	NS	0.0	0.0
clust9	0.0	0.0	0.0	NS	NS	NS	NS	NS	NS	0.0
clust10	NS	0.0	NS	NS	NS	NS	NS	NS	NS	0.0
clust11	0.002	0.0	0.0	0.0	NS	NS	NS	NS	NS	0.0
clust12	NS	0.0	NS	NS	NS	NS	0.0	NS	0.0	0.0
clust13	NS	0.0	NS	NS	NS	NS	NS	NS	NS	0.0
clust14	0.0	0.0	0.0	NS	NS	NS	NS	NS	NS	0.0
clust15	NS	0.0	NS	0.0	NS	NS	NS	NS	NS	0.0
clust16	NS	0.0	NS	0.0	NS	NS	NS	NS	NS	0.0
clust17	NS	0.0	NS	NS	NS	NS	0.0	NS	NS	0.0
clust18	NS	0.0	NS	NS	NS	NS	NS	NS	NS	0.0
clust19	NS	0.0	NS	NS	0.0	NS	NS	NS	NS	0.0
clust20	NS	0.0	NS	0.0	NS	NS	NS	NS	NS	0.0
clust21	0.0	0.0	0.0	NS	NS	NS	NS	NS	NS	0.0
clust22	0.005	0.0	0.004	NS	0.0	NS	NS	NS	NS	0.0
clust23	NS	0.0	NS	NS	NS	NS	NS	0.0	NS	0.0
clust24	NS	0.0	NS	NS	NS	NS	0.0	NS	0.0	0.0
clust25	NS	0.0	NS	NS	NS	NS	NS	0.0	0.0	0.0
clust26	NS	0.0	NS	NS	NS	NS	NS	0.007	NS	0.0
clust27	NS	0.0	NS	NS	NS	0.0	NS	NS	NS	0.0
clust28	NS	0.0	NS	NS	NS	NS	NS	0.0	NS	0.0
clust29	NS	0.0	NS	NS	NS	0.0	NS	NS	0.0	0.0
clust30	NS	0.0	NS	NS	NS	0.0	NS	0.0	NS	0.0
clust31	0.0	0.0	0.0	NS	0.0	NS	NS	NS	NS	0.0
clust32	NS	0.0	NS	NS	NS	NS	0.001	NS	0.0	0.0
clust33	0.0	0.0	0.0	NS	NS	NS	NS	NS	0.0	0.0
