Pvalue.All	ACINAR_CELL	B_CELL	DUCTAL_CELL_TYPE_1	DUCTAL_CELL_TYPE_2	ENDOCRINE_CELL	ENDOTHELIAL_CELL	FIBROBLAST	MACROPHAGE	STELLATE_CELL	T_CELL
clust1	0.403	0.0	0.717	0.996	0.987	1.0	0.0	0.937	0.0	0.0
clust2	0.873	0.0	0.966	0.854	0.999	1.0	1.0	0.0	1.0	0.0
clust3	0.299	0.0	0.962	0.988	0.927	0.0	0.983	0.6	0.004	0.0
clust4	0.325	0.0	0.023	0.0	0.876	1.0	1.0	0.408	1.0	0.0
clust5	0.002	0.0	0.0	0.015	0.039	1.0	1.0	0.957	0.954	0.0
clust6	0.364	0.0	0.191	0.0	0.948	1.0	1.0	0.774	1.0	0.0
clust7	0.0	0.0	0.947	0.992	0.969	0.0	0.992	0.625	0.011	0.0
clust8	0.286	0.0	0.85	0.999	0.92	1.0	0.0	0.915	0.0	0.0
clust9	0.0	0.0	0.0	0.016	0.144	1.0	1.0	0.945	0.971	0.0
clust10	0.354	0.0	0.993	0.995	0.887	1.0	1.0	0.047	0.999	0.0
clust11	0.002	0.0	0.0	0.0	0.197	1.0	1.0	0.661	0.987	0.0
clust12	0.146	0.0	0.996	0.993	0.954	1.0	0.0	0.851	0.0	0.0
clust13	0.267	0.0	0.997	1.0	0.489	1.0	1.0	0.247	1.0	0.0
clust14	0.0	0.0	0.0	0.161	0.138	1.0	0.991	0.959	0.998	0.0
clust15	0.045	0.0	0.015	0.0	0.991	1.0	0.999	0.277	0.978	0.0
clust16	0.73	0.0	0.033	0.0	0.9	1.0	1.0	0.463	1.0	0.0
clust17	0.103	0.0	0.786	0.562	0.986	1.0	0.0	0.357	0.028	0.0
clust18	0.922	0.0	0.968	0.984	0.989	1.0	1.0	0.012	1.0	0.0
clust19	0.265	0.0	0.307	0.042	0.0	1.0	0.927	0.1	0.969	0.0
clust20	0.594	0.0	0.099	0.0	0.92	1.0	0.968	0.349	0.866	0.0
clust21	0.0	0.0	0.0	0.386	0.213	0.477	1.0	0.521	0.392	0.0
clust22	0.005	0.0	0.004	0.153	0.0	1.0	0.992	0.911	0.919	0.0
clust23	0.864	0.0	0.816	0.525	0.983	1.0	1.0	0.0	1.0	0.0
clust24	0.178	0.0	0.882	0.985	0.981	1.0	0.0	0.4	0.0	0.0
clust25	0.261	0.0	0.969	0.971	0.972	1.0	0.072	0.0	0.0	0.0
clust26	0.832	0.0	0.843	0.848	0.998	1.0	1.0	0.007	1.0	0.0
clust27	0.285	0.0	0.928	0.957	0.929	0.0	0.988	0.346	0.024	0.0
clust28	0.64	0.0	0.971	0.891	0.998	1.0	1.0	0.0	1.0	0.0
clust29	0.117	0.0	0.94	0.985	0.646	0.0	0.383	0.202	0.0	0.0
clust30	0.487	0.0	0.912	0.87	0.886	0.0	0.992	0.0	0.14	0.0
clust31	0.0	0.0	0.0	0.46	0.0	1.0	0.988	0.964	0.983	0.0
clust32	0.317	0.0	0.784	0.971	0.992	0.995	0.001	0.857	0.0	0.0
clust33	0.0	0.0	0.0	0.205	0.293	1.0	0.782	0.895	0.0	0.0
