FDR_VALUES	clust1	clust2	clust3	clust4	clust5	clust6	clust7	clust8	clust9	clust10	clust11	clust12	clust13	clust14	clust15	clust16	clust17	clust18	clust19	clust20	clust21	clust22	clust23	clust24	clust25	clust26	clust27	clust28	clust29	clust30	clust31	clust32	clust33
ACINAR_CELL	0.284482195243483	0.44734150164532	0.596354195128851	0.47614608689276	0.265930342778453	0.378324745156188	0.380538012509166	0.964231779903209	0.634123751192145	0.398180814398047	0.44046598022197	0.8065157184755	0.449870663265792	0.356267544403172	0.618930134809434	0.641158305282169	0.535465099148723	0.381754966704394	1	0.553747630824827	0.341335129208893	0.421713245069998	0.892405184365252	0.394715693112297	0.494716710222613	0.218714000697964	0.552662693198888	0.422829168740046	1	0.789838340719233	0.456511797207333	0.638468277939354	0.628505802466276
B_CELL	0.284482195243483	0.36281015040372	0.596354195128851	0.47614608689276	0.265930342778453	0.32740431990103	0.380538012509166	0.557177049566602	0.634123751192145	0.398180814398047	0.514563067155622	0.8065157184755	0.207028707631353	0.356267544403172	0.556791480748585	0.521505736712999	0.691814276429046	0.170329515051023	0.400825021950163	0.491062230770642	0.412658512334195	0.421713245069998	0.353734392928541	0.754405204595803	1	0.218714000697964	0.664896989085669	0.408069463671347	0.411851661947677	0.788869809161869	0.456511797207333	0.695492989450651	0.574453163479721
DUCTAL_CELL_TYPE_1	0.284482195243483	0.36281015040372	0.596354195128851	0.47614608689276	0.11460161461237	0.32740431990103	0.47912945479356	0.585572219143541	0.239120370053821	0.398180814398047	0.44046598022197	0.8065157184755	0.319527925360343	0.356267544403172	0.556791480748585	0.464388660454018	0.531994157663672	0.381754966704394	0.298870836506071	0.696576224279729	0.33997147664834	0.421713245069998	0.378309069199616	0.318667797522206	0.305769591831984	0.218714000697964	0.438121606488146	0.408069463671347	0.411851661947677	0.380491983031865	0.456511797207333	0.638468277939354	0.342496814257924
DUCTAL_CELL_TYPE_2	0.284482195243483	0.404951736022534	0.596354195128851	0.102402734731661	1	0.109400250562775	0.380538012509166	0.557177049566602	1	0.398180814398047	0.44046598022197	0.8065157184755	0.319527925360343	1	0.151421605385472	0.129158413408029	0.557251519393484	0.381754966704394	0.499768279439394	0.325560838173885	0.729199512488453	1	0.926718403452118	0.304978565163941	0.319490664025072	0.338706156020547	0.475470424957716	0.408069463671347	0.411851661947677	0.513628733421389	0.631108073708611	0.638468277939354	0.985722538534939
ENDOCRINE_CELL	0.397674553461245	0.367786518836123	0.596354195128851	0.878392608418924	0.265930342778453	0.660567872460698	0.820906020464864	0.68023319810041	0.634123751192145	1	0.548429102763772	0.8065157184755	1	0.356267544403172	0.556791480748585	0.464388660454018	0.831251585440184	0.455174916299593	0.319932289226012	0.494557727336447	1	0.191041737207809	0.492442394854618	0.913624019999101	0.428453325088006	0.34213092098404	0.689384849536578	1	0.755919755848777	0.469737031599902	0.456511797207333	0.638468277939354	0.978909114626332
ENDOTHELIAL_CELL	0.397678097066139	0.36281015040372	0.0284605220940086	0.47614608689276	0.265930342778453	0.478856336009467	0.162486182683293	0.951165072294234	0.634123751192145	0.398180814398047	0.44046598022197	0.8065157184755	0.319527925360343	0.356267544403172	0.556791480748585	0.464388660454018	0.531994157663672	0.381754966704394	0.289217404661655	0.693656040775937	0.33997147664834	0.421713245069998	0.357369994126357	0.949928783324724	1	0.218714000697964	0.364436155029087	0.48859301226356	0.305651576095296	0.340689205271101	0.537241852756224	0.638468277939354	0.842786147866729
FIBROBLAST	0.284482195243483	0.36281015040372	0.596354195128851	0.47614608689276	0.265930342778453	0.32740431990103	0.61062026460759	0.375241579400052	0.634123751192145	0.398180814398047	0.44046598022197	0.235682635317416	0.319527925360343	0.58880966228679	0.556791480748585	0.464388660454018	0.291563327121974	0.381754966704394	0.691470169651297	0.491062230770642	0.513587817921546	0.421713245069998	0.353734392928541	0.297102497296785	0.379684888569091	0.218714000697964	0.851399722253998	0.425144601504201	0.411851661947677	0.952958416130387	0.456511797207333	0.638468277939354	0.916613012818808
MACROPHAGE	0.284482195243483	0.11530976169357	0.596354195128851	0.47614608689276	0.265930342778453	0.439138915072821	0.380538012509166	0.557177049566602	0.634123751192145	0.690122943881275	0.44046598022197	0.8065157184755	0.563392363838485	0.356267544403172	0.610966977901354	0.60647854340957	0.644314844548743	0.381754966704394	0.741325303560504	0.769723100382933	0.387203507985346	0.421713245069998	0.297521711665605	0.8897438363134	0.294297679174653	0.218714000697964	0.900520639538897	0.376583570455498	0.411851661947677	0.355641555650312	0.456511797207333	0.638468277939354	0.354011972278125
STELLATE_CELL	0.0739417848151626	0.36281015040372	0.596354195128851	0.47614608689276	0.265930342778453	0.32740431990103	0.440540518696975	0.557177049566602	0.634123751192145	0.398180814398047	0.44046598022197	0.8065157184755	0.319527925360343	0.382910352080355	0.556791480748585	0.464388660454018	0.531994157663672	0.381754966704394	0.289217404661655	0.958718526393718	0.735742928353311	0.421713245069998	0.353734392928541	0.300403558196999	0.305983656050679	0.218714000697964	0.955087871979259	0.408069463671347	0.3523643439114	0.979557841511759	0.456511797207333	0.351342719025602	0.367897227574188
T_CELL	0.284482195243483	0.36281015040372	0.596354195128851	0.47614608689276	0.265930342778453	0.32740431990103	0.380538012509166	0.557177049566602	0.634123751192145	0.19963611185853	0.44046598022197	0.8065157184755	0.319527925360343	0.356267544403172	0.556791480748585	0.464388660454018	0.883382212266122	0.381754966704394	0.305949421579226	0.491062230770642	0.374985799359229	0.421713245069998	0.353734392928541	0.332225245011931	0.988091641366211	0.116111471153581	0.437937174806523	0.408069463671347	0.411851661947677	0.726021619773227	0.456511797207333	0.638468277939354	0.415529927064477
