Pvalue.All	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	NA	0.13725491	0.5783784	NA	NA
clust2	NA	0.0754717	NA	NA	NA
clust3	NA	0.4883721	NA	NA	NA
clust4	NA	NA	NA	0.42045453	NA
clust5	NA	0.07317073	0.5606936	NA	NA
clust6	NA	NA	0.5462185	NA	NA
clust7	NA	NA	0.43933055	NA	0.5025126
clust8	NA	NA	0.017094018	0.6459144	NA
clust9	NA	NA	NA	NA	NA
clust10	NA	0.32	NA	0.53731346	NA
clust11	NA	0.09090909	NA	0.32954547	NA
clust12	NA	NA	0.011904762	NA	NA
clust13	NA	0.032258064	NA	0.29761904	NA
clust14	0.6564103	NA	NA	NA	0.41791046
clust15	0.6944444	NA	0.029126214	0.51555556	0.23333333
clust16	NA	0.42	NA	0.86934674	NA
