FDRQvalue.All	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	0.759298	NA	NA	0.91197306	0.00235
clust2	1.0	NA	1.0	0.96771616	0.0018
clust3	0.0139333345	NA	0.9864498	1.0	1.0
clust4	1.0	0.12300005	0.9959666	NA	1.0
clust5	0.8635499	NA	NA	0.8176481	0.0
clust6	0.8037589	0.84537715	NA	0.92302334	0.86116046
clust7	0.67474914	0.39029986	NA	0.88399947	NA
clust8	0.8168995	0.12860006	NA	NA	0.9254828
clust9	1.0	0.9860665	1.0	0.013500001	1.0
clust10	0.8463818	NA	1.0	NA	0.023149993
clust11	0.9138994	NA	0.8457815	NA	7.5E-4
clust12	0.9844665	0.0055333334	NA	1.0	1.0
clust13	0.8907994	NA	0.90949863	NA	0.0046499996
clust14	NA	1.0	0.008350001	0.8293157	NA
clust15	NA	0.0	NA	NA	NA
clust16	0.22455007	NA	0.81084836	NA	0.8236497
