CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
TCELL	clust1	0.400043029259797	0.113790198744635	0.246294170316796	0
BCELL	clust1	0.058907056798541	0.465415633298425	1	0
MACROPHAGE	clust1	0.249750797941034	0.237841063838815	0.438843985012974	0
ENDOTHELIAL	clust1	-0.24732071416397	0.179197653365501	0.283628144087574	0
CAF	clust1	-0.299055290108032	0.138242047028762	0.246294170316796	0
TCELL	clust2	0.908304647160064	0.0789181428105706	0.416970170400676	0
BCELL	clust2	0.0185456110153747	0.339498133553346	0.750277302531616	0
MACROPHAGE	clust2	0.145647777634419	0.439215862985086	0.918523582908786	0
ENDOTHELIAL	clust2	0.429453774334598	0.333761252197447	0.742812450611408	0
CAF	clust2	-0.401097799731923	0.101128769047193	0.453367682459231	0
TCELL	clust3	-0.309456914524848	0.231849474763259	0.545965721924362	0
BCELL	clust3	0.963037865748699	0.0522055206661368	0.433400093353102	0
MACROPHAGE	clust3	0.194657395316955	0.420416541133438	0.773422681557711	0
ENDOTHELIAL	clust3	-0.0422529151068339	0.40597175378666	0.742664697825746	0
CAF	clust3	-0.374903461519289	0.196559763398762	0.531716818144333	0
TCELL	clust4	-0.58911359724652	0.266964297276159	0.287998519193556	0
BCELL	clust4	-0.606249762149191	0.251333434090806	0.287998519193556	0
MACROPHAGE	clust4	-0.366073564900005	0.497458103229478	0.81470577678473	0
ENDOTHELIAL	clust4	-0.523790306089514	0.330700866447092	0.387740670899277	0
CAF	clust4	0.243551736997536	0.0423605321204192	0.192012872675441	0
TCELL	clust5	0.906067125645425	0.0504368985870059	0.433855173806455	0
BCELL	clust5	0.0758605851977942	0.452433765587076	0.984911877209781	0
MACROPHAGE	clust5	0.103825136612073	0.475987716656517	1	0
ENDOTHELIAL	clust5	-0.0546878361515381	0.345943861340806	0.859572813740525	0
CAF	clust5	-0.369905069807418	0.143529275701924	0.633700488692666	0
TCELL	clust6	-0.627194492255141	0.260206297805666	0.364045639312708	0
BCELL	clust6	-0.578430330870003	0.310563704707864	0.364045639312708	0
MACROPHAGE	clust6	-0.199468916165699	0.254804247673301	0.364045639312708	0
ENDOTHELIAL	clust6	-0.725877803128589	0.172805029158433	0.364045639312708	0
CAF	clust6	0.0505680840076454	0.077708719953873	0.364045639312708	0
TCELL	clust7	-0.400387263339415	0.112651742698614	0.340933166135583	0
BCELL	clust7	-0.142512908778233	0.304484355680254	0.576305902634309	0
MACROPHAGE	clust7	0.331353931896459	0.218696589847525	0.445024334717054	0
