ORA.Pval.Uncorrected.P0.05.cutoff_pos	BCELL	CAF	ENDOTHELIAL	MACROPHAGE	TCELL
clust1	NS	NS	NS	NS	0.000136705399863295
clust2	NS	NS	NS	NS	0.000136705399863295
clust3	0.000136705399863295	NS	NS	NS	NS
clust4	NA	NA	NA	NA	NA
clust5	NS	NS	NS	NS	0.000136705399863295
clust6	NA	NA	NA	NA	NA
clust7	NS	NS	NS	NS	NS
clust8	NA	NA	NA	NA	NA
clust9	NS	NS	NS	0.0025974025974026	NS
clust10	NS	NS	NS	NS	0.000136705399863295
clust11	NS	NS	NS	NS	0.000136705399863295
clust12	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	0.000683526999316473
clust14	NS	NS	0.00649350649350649	NS	NS
clust15	NS	3.12724770929105e-06	NS	NS	NS
clust16	0.000683526999316473	NS	NS	NS	NS
