Input_Sample	P-value	Pearson Correlation	RMSE
clust2	0.003	0.28695528954128324	0.9547173232026506
clust3	0.0	0.501105990077026	0.8746810098871501
clust4	0.0	0.37331650794057697	0.9323753420513672
clust6	0.009	0.2714240368425802	1.0177782217030489
clust7	0.003	0.28707990394171823	0.9914923837812437
clust8	0.0	0.35544188082986883	0.9628299544492659
clust9	0.001	0.3254347461998062	0.9422516436230743
clust11	0.377	0.10358113257464122	1.0261680274096252
clust13	0.332	0.11300824265677127	1.0128005999205336
clust15	0.081	0.19714109636745317	0.9792938731856246
clust16	0.243	0.1382336433885456	1.0158744247048597
