FDRQvalue.All	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	0.94843185	1.0	0.08000002	0.67730016	1.0	1.0
clust3	1.0	1.0	0.87324953	0.1336668	0.0019999999	0.0019999999
clust4	1.0	1.0	0.029999996	0.6327007	0.9998333	1.0
clust6	0.9976666	1.0	0.44400012	0.047999978	0.22999965	0.100999884
clust7	0.99499995	0.97440004	0.14799991	0.41049966	1.0	0.9831588
clust8	0.97849953	1.0	0.7899998	0.05400001	0.1646665	0.04599998
clust9	1.0	1.0	0.051999986	0.03900002	0.9949997	1.0
clust11	0.6906501	0.2900666	0.13619992	0.1896003	0.99916667	1.0
clust13	0.78333277	0.861	0.33699915	0.35800067	0.9345995	0.78500044
clust15	0.57099956	0.2580001	0.23949982	0.26733294	0.956832	0.6196003
clust16	0.8809645	1.0	0.2629998	9.999999E-4	0.55124974	0.29633322
