ORA.Pval.Corrected.P0.05.cutoff_pos	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	NS	NS	0.0480356038920329	NS	NS	NS
clust3	NS	NS	NS	NS	2.72389271925964e-11	2.72389271925964e-11
clust4	NS	NS	9.6309444763338e-11	NS	NS	NS
clust6	NS	NS	NS	NS	1.51528874222033e-06	3.93675314353616e-09
clust7	NS	NS	NS	NS	NS	NS
clust8	NS	NS	NS	NS	0.000921298584723979	3.93675314353616e-09
clust9	NS	NS	0.000406575637809026	0.00100008949919219	NS	NS
clust11	NS	0.0013670873306985	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS
clust16	NS	NS	NS	NS	NS	0.0104375270288211
