	truth	SVM	SVMrej	RF	LDA	LDArej	NMC	kNN9	ACTINN	SingleCellNet	LAmbDA	scPred	CaSTLe	CHETAH	scID	scmapcell	scmapcluster	singleR	scVI	Cell_BLAST
1001000178.C7	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL
1001000178.C3	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	VASCULAR	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED	IMMUNE_CELL	IMMUNE_CELL	UNLABELED
1001000178.G3	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	VASCULAR	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL
1001000240.D11	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL
1001000235.H3	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL
1001000229.B8	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	VASCULAR	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED	IMMUNE_CELL	IMMUNE_CELL	UNLABELED
1001000176.A10	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL
1001000235.G3	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	VASCULAR	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED	IMMUNE_CELL	IMMUNE_CELL	UNLABELED
1001000239.F4	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	VASCULAR	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED	IMMUNE_CELL	IMMUNE_CELL	UNLABELED
1001000036.E2	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	IMMUNE_CELL	UNLABELED
