method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
SVM	NEURON	0.9975062344139651	1.0	0.9987515605493134	800	0.9995833333333334	0.14285714285714285	21	balanced
kNN9	NEURON	0.7774538386783285	1.0	0.8747949699289229	800	0.9522916666666666	0.14285714285714285	21	balanced
scVI	NEURON	1.0	1.0	1.0	800	1.0	0.14285714285714285	21	balanced
RF	NEURON	1.0	1.0	1.0	800	1.0	0.14285714285714285	21	balanced
ACTINN	NEURON	1.0	1.0	1.0	800	1.0	0.14285714285714285	21	balanced
SVMrej	NEURON	0.9975062344139651	1.0	0.9987515605493134	800	0.9995833333333334	0.14285714285714285	21	balanced
scmapcell	NEURON	0.9950248756218906	1.0	0.9975062344139651	800	0.9991666666666666	0.14285714285714285	21	balanced
CaSTLe	NEURON	1.0	1.0	1.0	800	1.0	0.14285714285714285	21	balanced
NMC	NEURON	0.9956011730205279	0.84875	0.9163292847503374	800	0.999375	0.14285714285714285	21	balanced
SingleCellNet	NEURON	1.0	1.0	1.0	800	1.0	0.14285714285714285	21	balanced
Cell_BLAST	NEURON	0.9962640099626401	1.0	0.9981285090455396	800	0.999375	0.14285714285714285	21	balanced
singleR	NEURON	0.9960578186596584	0.9475	0.971172325432415	800	0.999375	0.14285714285714285	21	balanced
LDArej	NEURON	0.963855421686747	1.0	0.9815950920245399	800	0.99375	0.14285714285714285	21	balanced
scID	NEURON	0.9984447900466563	0.8025	0.8898128898128898	800	0.9997916666666666	0.14285714285714285	21	balanced
scPred	NEURON	0.9925558312655087	1.0	0.9962640099626401	800	0.99875	0.14285714285714285	21	balanced
LAmbDA	NEURON	1.0	1.0	1.0	800	1.0	0.14285714285714285	21	balanced
LDA	NEURON	0.963855421686747	1.0	0.9815950920245399	800	0.99375	0.14285714285714285	21	balanced
CHETAH	NEURON	1.0	0.9475	0.9730423620025674	800	1.0	0.14285714285714285	21	balanced
scmapcluster	NEURON	0.9945054945054945	0.905	0.9476439790575917	800	0.9991666666666666	0.14285714285714285	21	balanced
CaSTLe	VASCULAR	0.9900990099009901	1.0	0.9950248756218906	800	0.9983333333333333	0.14285714285714285	51	balanced
LDA	VASCULAR	0.9949622166246851	0.9875	0.9912170639899623	800	0.9991666666666666	0.14285714285714285	51	balanced
LDArej	VASCULAR	0.9949622166246851	0.9875	0.9912170639899623	800	0.9991666666666666	0.14285714285714285	51	balanced
scVI	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
SVM	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
SingleCellNet	VASCULAR	0.9987515605493134	1.0	0.9993753903810119	800	0.9997916666666666	0.14285714285714285	51	balanced
SVMrej	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
scmapcell	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
NMC	VASCULAR	0.9918032786885246	0.9075	0.947780678851175	800	0.99875	0.14285714285714285	51	balanced
singleR	VASCULAR	0.9987261146496815	0.98	0.9892744479495268	800	0.9997916666666666	0.14285714285714285	51	balanced
scID	VASCULAR	1.0	0.86125	0.9254533243787776	800	1.0	0.14285714285714285	51	balanced
scPred	VASCULAR	1.0	0.96625	0.9828353464717101	800	1.0	0.14285714285714285	51	balanced
scmapcluster	VASCULAR	1.0	0.28625	0.4450923226433431	800	1.0	0.14285714285714285	51	balanced
ACTINN	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
CHETAH	VASCULAR	1.0	0.95125	0.9750160153747598	800	1.0	0.14285714285714285	51	balanced
Cell_BLAST	VASCULAR	0.9828009828009828	1.0	0.9913258983890954	800	0.9970833333333333	0.14285714285714285	51	balanced
RF	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
LAmbDA	VASCULAR	1.0	1.0	1.0	800	1.0	0.14285714285714285	51	balanced
kNN9	VASCULAR	0.3976143141153082	1.0	0.5689900426742532	800	0.7475	0.14285714285714285	51	balanced
ACTINN	OLIGODENDROCYTE	0.9975062344139651	1.0	0.9987515605493134	800	0.9995833333333334	0.14285714285714285	85	balanced
scVI	OLIGODENDROCYTE	0.9987515605493134	1.0	0.9993753903810119	800	0.9997916666666666	0.14285714285714285	85	balanced
kNN9	OLIGODENDROCYTE	0.9	0.97875	0.9377245508982036	800	0.981875	0.14285714285714285	85	balanced
CaSTLe	OLIGODENDROCYTE	0.9949937421777222	0.99375	0.9943714821763603	800	0.9991666666666666	0.14285714285714285	85	balanced
scmapcell	OLIGODENDROCYTE	1.0	0.9525	0.9756722151088347	800	1.0	0.14285714285714285	85	balanced
SVM	OLIGODENDROCYTE	0.9987515605493134	1.0	0.9993753903810119	800	0.9997916666666666	0.14285714285714285	85	balanced
