method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
LDA	NK	0.8	0.8	0.8000000000000002	100	0.975	0.1111111111111111	92	balanced
ACTINN	NK	0.85	0.85	0.85	100	0.98125	0.1111111111111111	92	balanced
singleR	NK	0.9594594594594594	0.71	0.8160919540229885	100	0.99625	0.1111111111111111	92	balanced
RF	NK	0.875	0.91	0.892156862745098	100	0.98375	0.1111111111111111	92	balanced
NMC	NK	0.496551724137931	0.72	0.5877551020408164	100	0.90875	0.1111111111111111	92	balanced
LDArej	NK	0.8636363636363636	0.76	0.8085106382978724	100	0.985	0.1111111111111111	92	balanced
scPred	NK	0.875	0.84	0.8571428571428572	100	0.985	0.1111111111111111	92	balanced
kNN9	NK	0.8113207547169812	0.43	0.5620915032679739	100	0.9875	0.1111111111111111	92	balanced
Cell_BLAST	NK	1.0	0.01	0.019801980198019802	100	1.0	0.1111111111111111	92	balanced
scmapcell	NK	1.0	0.03	0.058252427184466014	100	1.0	0.1111111111111111	92	balanced
CaSTLe	NK	0.8932038834951457	0.92	0.9064039408866995	100	0.98625	0.1111111111111111	92	balanced
CHETAH	NK	0.8588235294117647	0.73	0.7891891891891891	100	0.985	0.1111111111111111	92	balanced
scVI	NK	0.8529411764705882	0.87	0.8613861386138614	100	0.98125	0.1111111111111111	92	balanced
SingleCellNet	NK	0.9223300970873787	0.95	0.9359605911330049	100	0.99	0.1111111111111111	92	balanced
scmapcluster	NK	1.0	0.06	0.11320754716981131	100	1.0	0.1111111111111111	92	balanced
LAmbDA	NK	0.8875	0.71	0.7888888888888889	100	0.98875	0.1111111111111111	92	balanced
scID	NK	0.2857142857142857	0.22	0.2485875706214689	100	0.93125	0.1111111111111111	92	balanced
SVM	NK	0.8796296296296297	0.95	0.9134615384615385	100	0.98375	0.1111111111111111	92	balanced
SVMrej	NK	0.9855072463768116	0.68	0.804733727810651	100	0.99875	0.1111111111111111	92	balanced
CaSTLe	ENDO.	1.0	0.87	0.9304812834224598	100	1.0	0.1111111111111111	104	balanced
NMC	ENDO.	0.95	0.76	0.8444444444444444	100	0.995	0.1111111111111111	104	balanced
LDArej	ENDO.	0.9880952380952381	0.83	0.9021739130434783	100	0.99875	0.1111111111111111	104	balanced
singleR	ENDO.	1.0	0.83	0.9071038251366119	100	1.0	0.1111111111111111	104	balanced
SingleCellNet	ENDO.	1.0	0.86	0.924731182795699	100	1.0	0.1111111111111111	104	balanced
LDA	ENDO.	0.9882352941176471	0.84	0.9081081081081082	100	0.99875	0.1111111111111111	104	balanced
SVM	ENDO.	0.9883720930232558	0.85	0.9139784946236558	100	0.99875	0.1111111111111111	104	balanced
scmapcluster	ENDO.	0.9210526315789473	0.7	0.7954545454545453	100	0.9925	0.1111111111111111	104	balanced
ACTINN	ENDO.	0.9882352941176471	0.84	0.9081081081081082	100	0.99875	0.1111111111111111	104	balanced
scID	ENDO.	0.5588235294117647	0.38	0.4523809523809524	100	0.9625	0.1111111111111111	104	balanced
SVMrej	ENDO.	1.0	0.78	0.8764044943820225	100	1.0	0.1111111111111111	104	balanced
scmapcell	ENDO.	0.9705882352941176	0.33	0.49253731343283585	100	0.99875	0.1111111111111111	104	balanced
scVI	ENDO.	0.9444444444444444	0.85	0.8947368421052632	100	0.99375	0.1111111111111111	104	balanced
kNN9	ENDO.	0.8552631578947368	0.65	0.7386363636363636	100	0.98625	0.1111111111111111	104	balanced
scPred	ENDO.	1.0	0.85	0.9189189189189189	100	1.0	0.1111111111111111	104	balanced
Cell_BLAST	ENDO.	1.0	0.01	0.019801980198019802	100	1.0	0.1111111111111111	104	balanced
LAmbDA	ENDO.	0.9010989010989011	0.82	0.8586387434554974	100	0.98875	0.1111111111111111	104	balanced
CHETAH	ENDO.	1.0	0.85	0.9189189189189189	100	1.0	0.1111111111111111	104	balanced
RF	ENDO.	1.0	0.86	0.924731182795699	100	1.0	0.1111111111111111	104	balanced
Cell_BLAST	CAF	1.0	0.23	0.3739837398373984	100	1.0	0.1111111111111111	106	balanced
LDArej	CAF	0.9259259259259259	0.75	0.8287292817679557	100	0.9925	0.1111111111111111	106	balanced
scmapcell	CAF	0.8636363636363636	0.57	0.6867469879518072	100	0.98875	0.1111111111111111	106	balanced
SVM	CAF	0.9479166666666666	0.91	0.9285714285714285	100	0.99375	0.1111111111111111	106	balanced
CHETAH	CAF	0.946236559139785	0.88	0.911917098445596	100	0.99375	0.1111111111111111	106	balanced
singleR	CAF	1.0	0.7	0.8235294117647058	100	1.0	0.1111111111111111	106	balanced
scVI	CAF	0.9278350515463918	0.9	0.9137055837563451	100	0.99125	0.1111111111111111	106	balanced
NMC	CAF	0.953125	0.61	0.7439024390243903	100	0.99625	0.1111111111111111	106	balanced
CaSTLe	CAF	0.9278350515463918	0.9	0.9137055837563451	100	0.99125	0.1111111111111111	106	balanced
ACTINN	CAF	0.9555555555555556	0.86	0.9052631578947369	100	0.995	0.1111111111111111	106	balanced
LDA	CAF	0.9156626506024096	0.76	0.8306010928961748	100	0.99125	0.1111111111111111	106	balanced
kNN9	CAF	0.3894230769230769	0.81	0.525974025974026	100	0.84125	0.1111111111111111	106	balanced
RF	CAF	0.93	0.93	0.93	100	0.99125	0.1111111111111111	106	balanced
SVMrej	CAF	0.9861111111111112	0.71	0.8255813953488371	100	0.99875	0.1111111111111111	106	balanced
SingleCellNet	CAF	0.9019607843137255	0.92	0.9108910891089109	100	0.9875	0.1111111111111111	106	balanced
scmapcluster	CAF	1.0	0.59	0.7421383647798743	100	1.0	0.1111111111111111	106	balanced
