method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
SVM	ERYTHROBLASTS	1.0	1.0	1.0	200	1.0	0.058823529411764705	8.0	balanced
LDA	ERYTHROBLASTS	0.966183574879227	1.0	0.9828009828009828	200	0.9978125	0.058823529411764705	8.0	balanced
LDArej	ERYTHROBLASTS	0.966183574879227	1.0	0.9828009828009828	200	0.9978125	0.058823529411764705	8.0	balanced
ACTINN	ERYTHROBLASTS	1.0	1.0	1.0	200	1.0	0.058823529411764705	8.0	balanced
CaSTLe	ERYTHROBLASTS	0.9803921568627451	1.0	0.99009900990099	200	0.99875	0.058823529411764705	8.0	balanced
scmapcluster	ERYTHROBLASTS	1.0	1.0	1.0	200	1.0	0.058823529411764705	8.0	balanced
CHETAH	ERYTHROBLASTS	0.7925531914893617	0.745	0.7680412371134021	200	0.9878125	0.058823529411764705	8.0	balanced
kNN9	ERYTHROBLASTS	0.9569377990430622	1.0	0.9779951100244498	200	0.9971875	0.058823529411764705	8.0	balanced
SingleCellNet	ERYTHROBLASTS	0.975609756097561	1.0	0.9876543209876543	200	0.9984375	0.058823529411764705	8.0	balanced
SVMrej	ERYTHROBLASTS	1.0	1.0	1.0	200	1.0	0.058823529411764705	8.0	balanced
RF	ERYTHROBLASTS	0.9950248756218906	1.0	0.9975062344139651	200	0.9996875	0.058823529411764705	8.0	balanced
scmapcell	ERYTHROBLASTS	1.0	0.62	0.7654320987654321	200	1.0	0.058823529411764705	8.0	balanced
NMC	ERYTHROBLASTS	0.5952380952380952	1.0	0.7462686567164178	200	0.9575	0.058823529411764705	8.0	balanced
singleR	ERYTHROBLASTS	1.0	0.745	0.8538681948424068	200	1.0	0.058823529411764705	8.0	balanced
scVI	ERYTHROBLASTS	1.0	1.0	1.0	200	1.0	0.058823529411764705	8.0	balanced
LAmbDA	ERYTHROBLASTS	0.9615384615384616	1.0	0.9803921568627451	200	0.9975	0.058823529411764705	8.0	balanced
scID	ERYTHROBLASTS	1.0	0.285	0.44357976653696496	200	1.0	0.058823529411764705	8.0	balanced
scPred	ERYTHROBLASTS	0.9875	0.79	0.8777777777777778	200	0.999375	0.058823529411764705	8.0	balanced
singleR	BASAL_CELLS	0.9743589743589743	0.95	0.9620253164556962	200	0.9984375	0.058823529411764705	68.0	balanced
SingleCellNet	BASAL_CELLS	0.9949238578680203	0.98	0.9874055415617129	200	0.9996875	0.058823529411764705	68.0	balanced
scmapcluster	BASAL_CELLS	0.9842105263157894	0.935	0.9589743589743589	200	0.9990625	0.058823529411764705	68.0	balanced
kNN9	BASAL_CELLS	0.9545454545454546	0.945	0.949748743718593	200	0.9971875	0.058823529411764705	68.0	balanced
scVI	BASAL_CELLS	0.99	0.99	0.99	200	0.999375	0.058823529411764705	68.0	balanced
LDA	BASAL_CELLS	0.9891891891891892	0.915	0.9506493506493506	200	0.999375	0.058823529411764705	68.0	balanced
ACTINN	BASAL_CELLS	0.9949748743718593	0.99	0.9924812030075189	200	0.9996875	0.058823529411764705	68.0	balanced
SVMrej	BASAL_CELLS	1.0	0.975	0.9873417721518987	200	1.0	0.058823529411764705	68.0	balanced
scPred	BASAL_CELLS	0.9811320754716981	0.78	0.8690807799442898	200	0.9990625	0.058823529411764705	68.0	balanced
scID	BASAL_CELLS	0.31020408163265306	0.38	0.3415730337078651	200	0.9471875	0.058823529411764705	68.0	balanced
