method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
RF	ENDOCRINE_CELL	0.978021978021978	0.89	0.9319371727748691	100	0.9977777777777778	0.1	729.0	balanced
SVMrej	ENDOCRINE_CELL	1.0	0.85	0.9189189189189189	100	1.0	0.1	729.0	balanced
NMC	ENDOCRINE_CELL	0.8636363636363636	0.76	0.8085106382978724	100	0.9866666666666667	0.1	729.0	balanced
scmapcluster	ENDOCRINE_CELL	0.9893617021276596	0.93	0.9587628865979382	100	0.9988888888888889	0.1	729.0	balanced
kNN9	ENDOCRINE_CELL	0.9459459459459459	0.7	0.8045977011494254	100	0.9955555555555555	0.1	729.0	balanced
Cell_BLAST	ENDOCRINE_CELL	1.0	0.21	0.34710743801652894	100	1.0	0.1	729.0	balanced
singleR	ENDOCRINE_CELL	0.941747572815534	0.97	0.9556650246305418	100	0.9933333333333333	0.1	729.0	balanced
SingleCellNet	ENDOCRINE_CELL	0.9666666666666667	0.87	0.9157894736842105	100	0.9966666666666667	0.1	729.0	balanced
scVI	ENDOCRINE_CELL	0.97	0.97	0.97	100	0.9966666666666667	0.1	729.0	balanced
CaSTLe	ENDOCRINE_CELL	0.9186046511627907	0.79	0.8494623655913979	100	0.9922222222222222	0.1	729.0	balanced
ACTINN	ENDOCRINE_CELL	0.9603960396039604	0.97	0.9651741293532338	100	0.9955555555555555	0.1	729.0	balanced
LAmbDA	ENDOCRINE_CELL	0.9479166666666666	0.91	0.9285714285714285	100	0.9944444444444445	0.1	729.0	balanced
CHETAH	ENDOCRINE_CELL	0.9767441860465116	0.84	0.9032258064516129	100	0.9977777777777778	0.1	729.0	balanced
SVM	ENDOCRINE_CELL	0.9795918367346939	0.96	0.9696969696969697	100	0.9977777777777778	0.1	729.0	balanced
scID	ENDOCRINE_CELL	1.0	0.54	0.7012987012987013	100	1.0	0.1	729.0	balanced
scmapcell	ENDOCRINE_CELL	0.967741935483871	0.9	0.9326424870466321	100	0.9966666666666667	0.1	729.0	balanced
ACTINN	ACINAR_CELL	0.9897959183673469	0.97	0.9797979797979798	100	0.9988888888888889	0.1	1935.0	balanced
scVI	ACINAR_CELL	1.0	0.99	0.9949748743718593	100	1.0	0.1	1935.0	balanced
scmapcell	ACINAR_CELL	1.0	0.93	0.9637305699481865	100	1.0	0.1	1935.0	balanced
CaSTLe	ACINAR_CELL	0.98989898989899	0.98	0.9849246231155778	100	0.9988888888888889	0.1	1935.0	balanced
SVMrej	ACINAR_CELL	1.0	0.93	0.9637305699481865	100	1.0	0.1	1935.0	balanced
SingleCellNet	ACINAR_CELL	0.9897959183673469	0.97	0.9797979797979798	100	0.9988888888888889	0.1	1935.0	balanced
kNN9	ACINAR_CELL	0.95	0.95	0.9500000000000001	100	0.9944444444444445	0.1	1935.0	balanced
scmapcluster	ACINAR_CELL	1.0	0.91	0.9528795811518325	100	1.0	0.1	1935.0	balanced
LAmbDA	ACINAR_CELL	0.979381443298969	0.95	0.9644670050761421	100	0.9977777777777778	0.1	1935.0	balanced
SVM	ACINAR_CELL	1.0	0.97	0.9847715736040609	100	1.0	0.1	1935.0	balanced
NMC	ACINAR_CELL	1.0	0.81	0.8950276243093923	100	1.0	0.1	1935.0	balanced
RF	ACINAR_CELL	0.9797979797979798	0.97	0.9748743718592964	100	0.9977777777777778	0.1	1935.0	balanced
CHETAH	ACINAR_CELL	0.9894736842105263	0.94	0.964102564102564	100	0.9988888888888889	0.1	1935.0	balanced
singleR	ACINAR_CELL	1.0	0.98	0.98989898989899	100	1.0	0.1	1935.0	balanced
scID	ACINAR_CELL	0.10650887573964497	0.18	0.1338289962825279	100	0.8322222222222222	0.1	1935.0	balanced
Cell_BLAST	ACINAR_CELL	1.0	0.51	0.6754966887417219	100	1.0	0.1	1935.0	balanced
LAmbDA	B_CELL	0.94	0.94	0.94	100	0.9933333333333333	0.1	2447.0	balanced
CHETAH	B_CELL	0.9361702127659575	0.88	0.9072164948453608	100	0.9933333333333333	0.1	2447.0	balanced
SingleCellNet	B_CELL	0.9702970297029703	0.98	0.9751243781094527	100	0.9966666666666667	0.1	2447.0	balanced
scID	B_CELL	0.3805668016194332	0.94	0.5417867435158501	100	0.83	0.1	2447.0	balanced
ACTINN	B_CELL	0.9797979797979798	0.97	0.9748743718592964	100	0.9977777777777778	0.1	2447.0	balanced
CaSTLe	B_CELL	0.8715596330275229	0.95	0.9090909090909091	100	0.9844444444444445	0.1	2447.0	balanced
SVM	B_CELL	0.9603960396039604	0.97	0.9651741293532338	100	0.9955555555555555	0.1	2447.0	balanced
scmapcluster	B_CELL	0.979381443298969	0.95	0.9644670050761421	100	0.9977777777777778	0.1	2447.0	balanced
singleR	B_CELL	0.9509803921568627	0.97	0.9603960396039604	100	0.9944444444444445	0.1	2447.0	balanced
SVMrej	B_CELL	0.9896907216494846	0.96	0.9746192893401014	100	0.9988888888888889	0.1	2447.0	balanced
kNN9	B_CELL	0.553072625698324	0.99	0.7096774193548387	100	0.9111111111111111	0.1	2447.0	balanced
NMC	B_CELL	0.9787234042553191	0.92	0.9484536082474226	100	0.9977777777777778	0.1	2447.0	balanced
RF	B_CELL	0.9428571428571428	0.99	0.9658536585365853	100	0.9933333333333333	0.1	2447.0	balanced
scmapcell	B_CELL	0.9883720930232558	0.85	0.9139784946236558	100	0.9988888888888889	0.1	2447.0	balanced
scVI	B_CELL	0.98	0.98	0.98	100	0.9977777777777778	0.1	2447.0	balanced
Cell_BLAST	B_CELL	0.0	0.0	0.0	100	1.0	0.1	2447.0	balanced
scmapcluster	T_CELL	1.0	0.7	0.8235294117647058	100	1.0	0.1	3660.0	balanced
SVMrej	T_CELL	0.9868421052631579	0.75	0.8522727272727272	100	0.9988888888888889	0.1	3660.0	balanced
scVI	T_CELL	0.9587628865979382	0.93	0.9441624365482233	100	0.9955555555555555	0.1	3660.0	balanced
scmapcell	T_CELL	1.0	0.52	0.6842105263157895	100	1.0	0.1	3660.0	balanced
NMC	T_CELL	0.45588235294117646	0.93	0.6118421052631579	100	0.8766666666666667	0.1	3660.0	balanced
singleR	T_CELL	0.9545454545454546	0.84	0.8936170212765958	100	0.9955555555555555	0.1	3660.0	balanced
scID	T_CELL	0.39473684210526316	0.75	0.5172413793103448	100	0.8722222222222222	0.1	3660.0	balanced
SingleCellNet	T_CELL	0.8787878787878788	0.87	0.8743718592964824	100	0.9866666666666667	0.1	3660.0	balanced
CaSTLe	T_CELL	0.7884615384615384	0.82	0.803921568627451	100	0.9755555555555555	0.1	3660.0	balanced
SVM	T_CELL	0.9479166666666666	0.91	0.9285714285714285	100	0.9944444444444445	0.1	3660.0	balanced
CHETAH	T_CELL	0.9538461538461539	0.62	0.7515151515151515	100	0.9966666666666667	0.1	3660.0	balanced
RF	T_CELL	0.9263157894736842	0.88	0.9025641025641025	100	0.9922222222222222	0.1	3660.0	balanced
Cell_BLAST	T_CELL	0.0	0.0	0.0	100	1.0	0.1	3660.0	balanced
ACTINN	T_CELL	0.9484536082474226	0.92	0.9340101522842639	100	0.9944444444444445	0.1	3660.0	balanced
LAmbDA	T_CELL	0.9512195121951219	0.78	0.8571428571428571	100	0.9955555555555555	0.1	3660.0	balanced
kNN9	T_CELL	0.65	0.78	0.709090909090909	100	0.9533333333333334	0.1	3660.0	balanced
LAmbDA	MACROPHAGE	0.8738738738738738	0.97	0.919431279620853	100	0.9844444444444445	0.1	5361.0	balanced
kNN9	MACROPHAGE	0.9651162790697675	0.83	0.8924731182795699	100	0.9966666666666667	0.1	5361.0	balanced
scVI	MACROPHAGE	0.9801980198019802	0.99	0.9850746268656716	100	0.9977777777777778	0.1	5361.0	balanced
CHETAH	MACROPHAGE	0.9473684210526315	0.9	0.9230769230769231	100	0.9944444444444445	0.1	5361.0	balanced
SVMrej	MACROPHAGE	1.0	0.92	0.9583333333333334	100	1.0	0.1	5361.0	balanced
CaSTLe	MACROPHAGE	0.9038461538461539	0.94	0.9215686274509804	100	0.9888888888888889	0.1	5361.0	balanced
RF	MACROPHAGE	0.9519230769230769	0.99	0.9705882352941176	100	0.9944444444444445	0.1	5361.0	balanced
SVM	MACROPHAGE	0.9705882352941176	0.99	0.9801980198019802	100	0.9966666666666667	0.1	5361.0	balanced
SingleCellNet	MACROPHAGE	0.9428571428571428	0.99	0.9658536585365853	100	0.9933333333333333	0.1	5361.0	balanced
scmapcell	MACROPHAGE	0.9801980198019802	0.99	0.9850746268656716	100	0.9977777777777778	0.1	5361.0	balanced
ACTINN	MACROPHAGE	0.9705882352941176	0.99	0.9801980198019802	100	0.9966666666666667	0.1	5361.0	balanced
scID	MACROPHAGE	0.9393939393939394	0.31	0.4661654135338345	100	0.9977777777777778	0.1	5361.0	balanced
Cell_BLAST	MACROPHAGE	1.0	0.01	0.019801980198019802	100	1.0	0.1	5361.0	balanced
scmapcluster	MACROPHAGE	0.9523809523809523	1.0	0.975609756097561	100	0.9944444444444445	0.1	5361.0	balanced
singleR	MACROPHAGE	0.9702970297029703	0.98	0.9751243781094527	100	0.9966666666666667	0.1	5361.0	balanced
NMC	MACROPHAGE	0.925531914893617	0.87	0.8969072164948454	100	0.9922222222222222	0.1	5361.0	balanced
scID	STELLATE_CELL	0.7848101265822784	0.62	0.6927374301675978	100	0.9811111111111112	0.1	5907.0	balanced
scmapcell	STELLATE_CELL	1.0	0.83	0.9071038251366119	100	1.0	0.1	5907.0	balanced
LAmbDA	STELLATE_CELL	0.9425287356321839	0.82	0.877005347593583	100	0.9944444444444445	0.1	5907.0	balanced
NMC	STELLATE_CELL	0.9390243902439024	0.77	0.8461538461538461	100	0.9944444444444445	0.1	5907.0	balanced
RF	STELLATE_CELL	0.989247311827957	0.92	0.9533678756476685	100	0.9988888888888889	0.1	5907.0	balanced
scVI	STELLATE_CELL	0.978494623655914	0.91	0.9430051813471503	100	0.9977777777777778	0.1	5907.0	balanced
singleR	STELLATE_CELL	0.989010989010989	0.9	0.9424083769633509	100	0.9988888888888889	0.1	5907.0	balanced
kNN9	STELLATE_CELL	0.963855421686747	0.8	0.8743169398907104	100	0.9966666666666667	0.1	5907.0	balanced
Cell_BLAST	STELLATE_CELL	0.0	0.0	0.0	100	1.0	0.1	5907.0	balanced
CaSTLe	STELLATE_CELL	0.967741935483871	0.9	0.9326424870466321	100	0.9966666666666667	0.1	5907.0	balanced
SVMrej	STELLATE_CELL	0.9885057471264368	0.86	0.9197860962566845	100	0.9988888888888889	0.1	5907.0	balanced
SingleCellNet	STELLATE_CELL	1.0	0.89	0.9417989417989417	100	1.0	0.1	5907.0	balanced
ACTINN	STELLATE_CELL	0.9891304347826086	0.91	0.9479166666666667	100	0.9988888888888889	0.1	5907.0	balanced
SVM	STELLATE_CELL	0.9787234042553191	0.92	0.9484536082474226	100	0.9977777777777778	0.1	5907.0	balanced
scmapcluster	STELLATE_CELL	0.9888888888888889	0.89	0.9368421052631579	100	0.9988888888888889	0.1	5907.0	balanced
CHETAH	STELLATE_CELL	0.9885057471264368	0.86	0.9197860962566845	100	0.9988888888888889	0.1	5907.0	balanced
scmapcluster	FIBROBLAST	0.9166666666666666	0.99	0.9519230769230769	100	0.99	0.1	6742.0	balanced
singleR	FIBROBLAST	0.9252336448598131	0.99	0.9565217391304348	100	0.9911111111111112	0.1	6742.0	balanced
Cell_BLAST	FIBROBLAST	1.0	0.01	0.019801980198019802	100	1.0	0.1	6742.0	balanced
LAmbDA	FIBROBLAST	0.8878504672897196	0.95	0.9178743961352657	100	0.9866666666666667	0.1	6742.0	balanced
CHETAH	FIBROBLAST	0.9142857142857143	0.96	0.9365853658536586	100	0.99	0.1	6742.0	balanced
NMC	FIBROBLAST	0.9052631578947369	0.86	0.8820512820512821	100	0.99	0.1	6742.0	balanced
CaSTLe	FIBROBLAST	0.900990099009901	0.91	0.9054726368159204	100	0.9888888888888889	0.1	6742.0	balanced
ACTINN	FIBROBLAST	0.9514563106796117	0.98	0.9655172413793104	100	0.9944444444444445	0.1	6742.0	balanced
SVM	FIBROBLAST	0.9611650485436893	0.99	0.9753694581280788	100	0.9955555555555555	0.1	6742.0	balanced
scmapcell	FIBROBLAST	0.96	0.96	0.96	100	0.9955555555555555	0.1	6742.0	balanced
RF	FIBROBLAST	0.9514563106796117	0.98	0.9655172413793104	100	0.9944444444444445	0.1	6742.0	balanced
scID	FIBROBLAST	0.8666666666666667	0.52	0.65	100	0.9911111111111112	0.1	6742.0	balanced
SingleCellNet	FIBROBLAST	0.9326923076923077	0.97	0.9509803921568627	100	0.9922222222222222	0.1	6742.0	balanced
SVMrej	FIBROBLAST	0.968421052631579	0.92	0.9435897435897437	100	0.9966666666666667	0.1	6742.0	balanced
scVI	FIBROBLAST	0.9519230769230769	0.99	0.9705882352941176	100	0.9944444444444445	0.1	6742.0	balanced
kNN9	FIBROBLAST	0.9659090909090909	0.85	0.9042553191489362	100	0.9966666666666667	0.1	6742.0	balanced
kNN9	ENDOTHELIAL_CELL	0.9885057471264368	0.86	0.9197860962566845	100	0.9988888888888889	0.1	9117.0	balanced
scID	ENDOTHELIAL_CELL	0.9841269841269841	0.62	0.7607361963190183	100	0.9988888888888889	0.1	9117.0	balanced
LAmbDA	ENDOTHELIAL_CELL	0.9134615384615384	0.95	0.9313725490196078	100	0.99	0.1	9117.0	balanced
scmapcluster	ENDOTHELIAL_CELL	0.98989898989899	0.98	0.9849246231155778	100	0.9988888888888889	0.1	9117.0	balanced
scVI	ENDOTHELIAL_CELL	0.9801980198019802	0.99	0.9850746268656716	100	0.9977777777777778	0.1	9117.0	balanced
singleR	ENDOTHELIAL_CELL	0.99	0.99	0.99	100	0.9988888888888889	0.1	9117.0	balanced
ACTINN	ENDOTHELIAL_CELL	0.9801980198019802	0.99	0.9850746268656716	100	0.9977777777777778	0.1	9117.0	balanced
Cell_BLAST	ENDOTHELIAL_CELL	1.0	0.01	0.019801980198019802	100	1.0	0.1	9117.0	balanced
NMC	ENDOTHELIAL_CELL	0.9885057471264368	0.86	0.9197860962566845	100	0.9988888888888889	0.1	9117.0	balanced
