method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
scVI	NK	0.9591836734693877	0.94	0.9494949494949495	50	0.9933333333333333	0.14285714285714285	51	balanced
LDA	NK	0.9333333333333333	0.84	0.8842105263157894	50	0.99	0.14285714285714285	51	balanced
CaSTLe	NK	0.9375	0.9	0.9183673469387755	50	0.99	0.14285714285714285	51	balanced
singleR	NK	0.9791666666666666	0.94	0.9591836734693877	50	0.9966666666666667	0.14285714285714285	51	balanced
ACTINN	NK	0.9387755102040817	0.92	0.9292929292929293	50	0.99	0.14285714285714285	51	balanced
scmapcell	NK	0.96875	0.62	0.7560975609756097	50	0.9966666666666667	0.14285714285714285	51	balanced
scmapcluster	NK	1.0	0.08	0.14814814814814814	50	1.0	0.14285714285714285	51	balanced
kNN9	NK	1.0	0.26	0.41269841269841273	50	1.0	0.14285714285714285	51	balanced
scID	NK	0.6923076923076923	0.9	0.7826086956521738	50	0.9333333333333333	0.14285714285714285	51	balanced
NMC	NK	0.9791666666666666	0.94	0.9591836734693877	50	0.9966666666666667	0.14285714285714285	51	balanced
RF	NK	0.98	0.98	0.98	50	0.9966666666666667	0.14285714285714285	51	balanced
CHETAH	NK	1.0	0.98	0.98989898989899	50	1.0	0.14285714285714285	51	balanced
SVM	NK	1.0	0.96	0.9795918367346939	50	1.0	0.14285714285714285	51	balanced
SVMrej	NK	1.0	0.78	0.8764044943820225	50	1.0	0.14285714285714285	51	balanced
LDArej	NK	1.0	0.2	0.33333333333333337	50	1.0	0.14285714285714285	51	balanced
Cell_BLAST	NK	0.0	0.0	0.0	50	1.0	0.14285714285714285	51	balanced
SingleCellNet	NK	1.0	0.96	0.9795918367346939	50	1.0	0.14285714285714285	51	balanced
LAmbDA	NK	0.8780487804878049	0.72	0.7912087912087912	50	0.9833333333333333	0.14285714285714285	51	balanced
scPred	NK	0.98	0.98	0.98	50	0.9966666666666667	0.14285714285714285	51	balanced
RF	CAF	1.0	1.0	1.0	50	1.0	0.14285714285714285	56	balanced
LDArej	CAF	1.0	0.68	0.8095238095238095	50	1.0	0.14285714285714285	56	balanced
singleR	CAF	1.0	0.98	0.98989898989899	50	1.0	0.14285714285714285	56	balanced
CaSTLe	CAF	0.9259259259259259	1.0	0.9615384615384615	50	0.9866666666666667	0.14285714285714285	56	balanced
LAmbDA	CAF	0.9761904761904762	0.82	0.8913043478260869	50	0.9966666666666667	0.14285714285714285	56	balanced
LDA	CAF	1.0	0.86	0.924731182795699	50	1.0	0.14285714285714285	56	balanced
scVI	CAF	1.0	1.0	1.0	50	1.0	0.14285714285714285	56	balanced
NMC	CAF	1.0	0.98	0.98989898989899	50	1.0	0.14285714285714285	56	balanced
SVMrej	CAF	1.0	0.96	0.9795918367346939	50	1.0	0.14285714285714285	56	balanced
scID	CAF	1.0	0.92	0.9583333333333334	50	1.0	0.14285714285714285	56	balanced
scmapcluster	CAF	1.0	0.86	0.924731182795699	50	1.0	0.14285714285714285	56	balanced
kNN9	CAF	0.9361702127659575	0.88	0.9072164948453608	50	0.99	0.14285714285714285	56	balanced
CHETAH	CAF	1.0	1.0	1.0	50	1.0	0.14285714285714285	56	balanced
Cell_BLAST	CAF	1.0	0.32	0.48484848484848486	50	1.0	0.14285714285714285	56	balanced
SVM	CAF	1.0	1.0	1.0	50	1.0	0.14285714285714285	56	balanced
scPred	CAF	1.0	1.0	1.0	50	1.0	0.14285714285714285	56	balanced
SingleCellNet	CAF	0.9803921568627451	1.0	0.99009900990099	50	0.9966666666666667	0.14285714285714285	56	balanced
scmapcell	CAF	0.9782608695652174	0.9	0.9375	50	0.9966666666666667	0.14285714285714285	56	balanced
ACTINN	CAF	1.0	1.0	1.0	50	1.0	0.14285714285714285	56	balanced
SVMrej	ENDOTHELIAL	1.0	0.98	0.98989898989899	50	1.0	0.14285714285714285	62	balanced
scmapcell	ENDOTHELIAL	1.0	0.66	0.7951807228915663	50	1.0	0.14285714285714285	62	balanced
SVM	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
scVI	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
NMC	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
CaSTLe	ENDOTHELIAL	0.98	0.98	0.98	50	0.9966666666666667	0.14285714285714285	62	balanced
SingleCellNet	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
scmapcluster	ENDOTHELIAL	1.0	0.94	0.9690721649484536	50	1.0	0.14285714285714285	62	balanced
singleR	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
kNN9	ENDOTHELIAL	1.0	0.62	0.7654320987654321	50	1.0	0.14285714285714285	62	balanced
RF	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
scID	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
ACTINN	ENDOTHELIAL	0.9803921568627451	1.0	0.99009900990099	50	0.9966666666666667	0.14285714285714285	62	balanced
LDA	ENDOTHELIAL	0.8771929824561403	1.0	0.9345794392523363	50	0.9766666666666667	0.14285714285714285	62	balanced
CHETAH	ENDOTHELIAL	1.0	0.98	0.98989898989899	50	1.0	0.14285714285714285	62	balanced
Cell_BLAST	ENDOTHELIAL	1.0	0.02	0.0392156862745098	50	1.0	0.14285714285714285	62	balanced
LAmbDA	ENDOTHELIAL	0.9245283018867925	0.98	0.9514563106796116	50	0.9866666666666667	0.14285714285714285	62	balanced
LDArej	ENDOTHELIAL	1.0	0.8	0.888888888888889	50	1.0	0.14285714285714285	62	balanced
scPred	ENDOTHELIAL	1.0	1.0	1.0	50	1.0	0.14285714285714285	62	balanced
LAmbDA	MACROPHAGE	0.9615384615384616	1.0	0.9803921568627451	50	0.9933333333333333	0.14285714285714285	120	balanced
RF	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
SVMrej	MACROPHAGE	1.0	0.98	0.98989898989899	50	1.0	0.14285714285714285	120	balanced
SingleCellNet	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
Cell_BLAST	MACROPHAGE	1.0	0.14	0.24561403508771928	50	1.0	0.14285714285714285	120	balanced
scVI	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
scPred	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
CHETAH	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
LDArej	MACROPHAGE	1.0	0.88	0.9361702127659575	50	1.0	0.14285714285714285	120	balanced
SVM	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
kNN9	MACROPHAGE	0.9803921568627451	1.0	0.99009900990099	50	0.9966666666666667	0.14285714285714285	120	balanced
scmapcell	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
NMC	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
scID	MACROPHAGE	1.0	0.94	0.9690721649484536	50	1.0	0.14285714285714285	120	balanced
scmapcluster	MACROPHAGE	1.0	0.94	0.9690721649484536	50	1.0	0.14285714285714285	120	balanced
ACTINN	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
singleR	MACROPHAGE	1.0	1.0	1.0	50	1.0	0.14285714285714285	120	balanced
CaSTLe	MACROPHAGE	0.9803921568627451	1.0	0.99009900990099	50	0.9966666666666667	0.14285714285714285	120	balanced
LDA	MACROPHAGE	1.0	0.94	0.9690721649484536	50	1.0	0.14285714285714285	120	balanced
SVMrej	BCELL	1.0	1.0	1.0	50	1.0	0.14285714285714285	512	balanced
singleR	BCELL	0.9433962264150944	1.0	0.970873786407767	50	0.99	0.14285714285714285	512	balanced
scPred	BCELL	1.0	1.0	1.0	50	1.0	0.14285714285714285	512	balanced
CHETAH	BCELL	0.98	0.98	0.98	50	0.9966666666666667	0.14285714285714285	512	balanced
scmapcell	BCELL	1.0	0.84	0.9130434782608696	50	1.0	0.14285714285714285	512	balanced
scID	BCELL	1.0	0.5	0.6666666666666666	50	1.0	0.14285714285714285	512	balanced
NMC	BCELL	0.9433962264150944	1.0	0.970873786407767	50	0.99	0.14285714285714285	512	balanced
LAmbDA	BCELL	0.94	0.94	0.94	50	0.99	0.14285714285714285	512	balanced
LDArej	BCELL	1.0	0.3	0.4615384615384615	50	1.0	0.14285714285714285	512	balanced
scVI	BCELL	0.9803921568627451	1.0	0.99009900990099	50	0.9966666666666667	0.14285714285714285	512	balanced
