method	class	precision	recall	f1_score	support	specificity	cellprop	sorting	dataset
LAmbDA	GMP	0.625	0.65	0.6372549019607844	100	0.922	0.16666666666666666	897.0	balanced
SVM	GMP	0.8173076923076923	0.85	0.8333333333333334	100	0.962	0.16666666666666666	897.0	balanced
CaSTLe	GMP	0.7169811320754716	0.76	0.7378640776699028	100	0.94	0.16666666666666666	897.0	balanced
SingleCellNet	GMP	0.803921568627451	0.82	0.8118811881188118	100	0.96	0.16666666666666666	897.0	balanced
LDArej	GMP	0.92	0.23	0.368	100	0.996	0.16666666666666666	897.0	balanced
scVI	GMP	0.7619047619047619	0.8	0.7804878048780488	100	0.95	0.16666666666666666	897.0	balanced
SVMrej	GMP	1.0	0.54	0.7012987012987013	100	1.0	0.16666666666666666	897.0	balanced
LDA	GMP	0.7204301075268817	0.67	0.6943005181347149	100	0.948	0.16666666666666666	897.0	balanced
scmapcell	GMP	0.8780487804878049	0.36	0.5106382978723404	100	0.99	0.16666666666666666	897.0	balanced
ACTINN	GMP	0.6565656565656566	0.65	0.6532663316582915	100	0.932	0.16666666666666666	897.0	balanced
NMC	GMP	0.559322033898305	0.33	0.4150943396226416	100	0.948	0.16666666666666666	897.0	balanced
kNN9	GMP	0.5203252032520326	0.64	0.5739910313901346	100	0.882	0.16666666666666666	897.0	balanced
singleR	GMP	0.6796875	0.87	0.763157894736842	100	0.918	0.16666666666666666	897.0	balanced
scID	GMP	0.5352112676056338	0.38	0.4444444444444444	100	0.934	0.16666666666666666	897.0	balanced
scmapcluster	GMP	0.8867924528301887	0.47	0.6143790849673203	100	0.988	0.16666666666666666	897.0	balanced
RF	GMP	0.6608695652173913	0.76	0.7069767441860464	100	0.922	0.16666666666666666	897.0	balanced
CHETAH	GMP	0.8333333333333334	0.6	0.6976744186046512	100	0.976	0.16666666666666666	897.0	balanced
Cell_BLAST	GMP	0.0	0.0	0.0	100	1.0	0.16666666666666666	897.0	balanced
scPred	GMP	0.8125	0.78	0.7959183673469388	100	0.964	0.16666666666666666	897.0	balanced
LDA	GMP_LIKE	0.7590361445783133	0.63	0.6885245901639344	100	0.96	0.16666666666666666	3042.0	balanced
LDArej	GMP_LIKE	0.7391304347826086	0.17	0.2764227642276423	100	0.988	0.16666666666666666	3042.0	balanced
SVM	GMP_LIKE	0.6944444444444444	0.75	0.721153846153846	100	0.934	0.16666666666666666	3042.0	balanced
scVI	GMP_LIKE	0.73	0.73	0.7299999999999999	100	0.946	0.16666666666666666	3042.0	balanced
RF	GMP_LIKE	0.6385542168674698	0.53	0.5792349726775956	100	0.94	0.16666666666666666	3042.0	balanced
Cell_BLAST	GMP_LIKE	0.0	0.0	0.0	100	1.0	0.16666666666666666	3042.0	balanced
SVMrej	GMP_LIKE	0.8787878787878788	0.29	0.43609022556390975	100	0.992	0.16666666666666666	3042.0	balanced
CaSTLe	GMP_LIKE	0.5581395348837209	0.48	0.5161290322580644	100	0.924	0.16666666666666666	3042.0	balanced
scPred	GMP_LIKE	0.6811594202898551	0.47	0.5562130177514792	100	0.956	0.16666666666666666	3042.0	balanced
scmapcell	GMP_LIKE	0.5238095238095238	0.11	0.18181818181818182	100	0.98	0.16666666666666666	3042.0	balanced
ACTINN	GMP_LIKE	0.5446428571428571	0.61	0.5754716981132075	100	0.898	0.16666666666666666	3042.0	balanced
scmapcluster	GMP_LIKE	0.6	0.66	0.6285714285714286	100	0.912	0.16666666666666666	3042.0	balanced
LAmbDA	GMP_LIKE	0.5227272727272727	0.46	0.4893617021276596	100	0.916	0.16666666666666666	3042.0	balanced
NMC	GMP_LIKE	0.44274809160305345	0.58	0.5021645021645021	100	0.854	0.16666666666666666	3042.0	balanced
kNN9	GMP_LIKE	0.6730769230769231	0.35	0.46052631578947373	100	0.966	0.16666666666666666	3042.0	balanced
scID	GMP_LIKE	0.34444444444444444	0.62	0.44285714285714284	100	0.764	0.16666666666666666	3042.0	balanced
singleR	GMP_LIKE	0.6015037593984962	0.8	0.6866952789699571	100	0.894	0.16666666666666666	3042.0	balanced
CHETAH	GMP_LIKE	0.7555555555555555	0.34	0.4689655172413793	100	0.978	0.16666666666666666	3042.0	balanced
SingleCellNet	GMP_LIKE	0.7363636363636363	0.81	0.7714285714285715	100	0.942	0.16666666666666666	3042.0	balanced
CHETAH	HSC_PROG	0.8767123287671232	0.64	0.7398843930635838	100	0.982	0.16666666666666666	3386.0	balanced
scmapcluster	HSC_PROG	0.9433962264150944	0.5	0.6535947712418301	100	0.994	0.16666666666666666	3386.0	balanced
singleR	HSC_PROG	0.8118811881188119	0.82	0.8159203980099502	100	0.962	0.16666666666666666	3386.0	balanced
scPred	HSC_PROG	0.9733333333333334	0.73	0.8342857142857143	100	0.996	0.16666666666666666	3386.0	balanced
scVI	HSC_PROG	0.8144329896907216	0.79	0.802030456852792	100	0.964	0.16666666666666666	3386.0	balanced
SVMrej	HSC_PROG	1.0	0.59	0.7421383647798743	100	1.0	0.16666666666666666	3386.0	balanced
scID	HSC_PROG	0.576	0.72	0.64	100	0.894	0.16666666666666666	3386.0	balanced
NMC	HSC_PROG	0.41	0.82	0.5466666666666666	100	0.764	0.16666666666666666	3386.0	balanced
SingleCellNet	HSC_PROG	0.8555555555555555	0.77	0.8105263157894737	100	0.974	0.16666666666666666	3386.0	balanced
scmapcell	HSC_PROG	1.0	0.17	0.2905982905982906	100	1.0	0.16666666666666666	3386.0	balanced
SVM	HSC_PROG	0.8349514563106796	0.86	0.8472906403940887	100	0.966	0.16666666666666666	3386.0	balanced
LAmbDA	HSC_PROG	0.7010309278350515	0.68	0.6903553299492386	100	0.942	0.16666666666666666	3386.0	balanced
