	Cell	Gene	Cell Types
scPred	3.016014724	-1.130173894	-0.670196142
CaSTLe	1.154870345	-0.564270163	0.211098257
scVI	0.848169991	-1.025983639	-0.212994393
SVM	1.084762828	-0.641224817	-0.146967382
ACTINN	1.470849623	-0.821706083	-0.190062238
SingleCellNet	1.681132397	-0.889126637	0.351796172
SVMrej	1.312162165	-0.864973439	-0.246872436
singleR	2.449064821	-1.224870061	-0.057408988
LDArej	4.68741702	-1.291631139	-1.834631305
LDA	4.645961913	-1.322185706	-1.886117701
RF	1.221006645	-0.558910019	-0.02535138
CHETAH	0.991027453	-0.172386801	0.174459846
LAmbDA	1.183282285	-0.076406614	-0.115896861
kNN9	2.666792646	-1.534189736	-0.409520174
scmapcell	2.190142226	-0.347387606	-0.28356302
NMC	1.525268823	-0.390855532	-0.532254351
Cell_BLAST	0.930255567	-0.509626468	-0.16548751
scID	1.008708625	-0.254497304	0.450939271
scmapcluster	0.854078248	-0.04382818	-0.16933423
GSVA	0.865627862	-0.622721338	-0.291848245
ORA	0.863379563	-0.637652533	-0.291672767
CIBERSORT	1.698211026	-0.543565994	-0.86102296
scCATCH	6.948945825	0.060762597	-0.258286322
GSEA	0.850124923	-0.577266486	-0.315349913
Adobo	0.669626301	0.037938682	1.895517035
MetaNeighbor	0.829748971	-0.468271642	-0.269249793
